[0:00:40] ブタ麺うますぎ: たぬきおじゃ tanukiGoja
[0:00:58] シャオレイ: おじゃ～
[0:32:20] ユーミ本人: ミシックとかいうシステムがなくなったから微妙に間接ナーフされてる薄い本
[0:33:11] 1ced1sky: エズじゃないフィズだった（）
[0:33:22] ユーミ本人: あのグレイブス・・・
[0:33:40] nukmor: tanukiGuwaaa
[0:33:46] kaninomisoni: つえ
[0:33:54] 1ced1sky: さすがにゾーニャか..
[0:34:08] marumaru3ta: ww
[0:34:14] 1ced1sky: なんかいろいろ見ちゃいけないもの見た感あるな
[0:34:38] ユーミ本人: 毎秒誰か死んでるな
[0:34:47] おじゃるまる: あのカエル硬すぎない？
[0:35:13] ぱと_らっしゅ: 展開が忙しいなｗ
[0:36:40] ぱと_らっしゅ: ｇｇか？
[0:36:41] kaninomisoni: 入りまずいかと思ったけど大丈夫だった
[0:36:44] nukmor: やったか！？
[0:36:53] maguroud: 勝ちに貪欲と言って差し上げろ
[0:37:53] oba_q: タムケンが厄介すぎる
[0:38:00] kuruton2007: おわりそう
[0:38:12] overwatch_is_: ドレイヴンかわいほう
[0:39:11] YoshidaHansyu: 正面から当たったらまずいか
[0:39:32] Siriyonn: 爆発した
[0:39:36] kaninomisoni: GGや
[0:40:05] ぷるむむむ: GG
[0:40:13] r_ronge: gg
[0:40:13] rena_toi: GG
[0:40:15] maguroud: 勝ちだぁ！！
[0:40:24] tomatoma19: gg
[0:40:34] uyaxtone: gg
[0:41:09] ぱと_らっしゅ: 納税の義務は変わらんだろうから...
[0:41:27] lyuuiii: モルデマルザ合わせるのってよくない？
[0:41:40] lyuuiii: サッシュめちゃめちゃ買われて辛かったです
[0:42:26] しゃけ00: ソロランするなあらおすすめのレーンありますか？ 今JG or Topでやっていてp3から上がりません;;
[0:42:47] しゃけ00: キャラですかね？
[0:43:03] YoshidaHansyu: しらんけどJGリリアしたらあがるんじゃないか
[0:43:13] sonic0023755390: リリアジャオをこすれ
[0:43:18] bicyclepanda: bicyclepanda subscribed with Prime. They've subscribed for 10 months! たぬきこれあげる
[0:43:25] nukmor: RaccAttack tanukiWairo
[0:43:26] しゃけ00: グラガス ダイアナ リーシン とかですかね
[0:44:46] しゃけ00: リリアですかねｗ やっぱり
[0:44:47] sur4s4tann4: やすおの顔が浮かぶ
[0:44:49] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[0:44:49] Siriyonn: リリア本当に強い
[0:44:58] SugarFreeVG: 太ってるのに歩かさせられるグラガス
[0:45:42] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[0:45:46] さすらい777: おにんにんおじゃ
[0:46:12] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[0:46:42] ぱと_らっしゅ: MIDのAPねずみもなんか勝率でてるよね
[0:46:47] りすぽん: shakaGg
[0:47:38] YoshidaHansyu: syaruru
[0:47:46] zozomomomo: 増永！？
[0:47:53] 与太マン: 名前の横のマーク何？
[0:48:01] YoshidaHansyu: ADCやらないとおれがうますぎてあがっちゃうらしい
[0:48:01] sonic0023755390: TFジャングルとかやってたのになぜか上がった
[0:48:27] lasagma00: リリアの1/100パワーのTFさん
[0:48:44] zozomomomo: TFJG被害者の忍者
[0:48:52] sonic0023755390: ブランド以外に負けないリリアさん
[0:49:05] siyagoka0343: ADTF
[0:50:13] shot_taka: ぐ、れ
[0:50:27] ghjkewa: RaccAttack
[0:51:21] ギギギギ: トップシャコ…
[0:51:32] maguroud: 地獄みたいな試合始まりそう
[0:51:51] sonic0023755390: ポンジーのヤスオ取り上げれたしOKか？
[0:52:07] madlemongrass: ミッドシャコかも
[0:52:10] sonic0023755390: そうだったかｗ
[0:52:49] maguroud: 配信内でぼこぼこにされてくれ
[0:55:24] kurou_crunn: なんか突っ込んでなんか帰っていく
[0:57:10] ユーミ本人: シンジャオすごいないまの
[0:59:43] 与太マン: ラカンのQ当てて味方にタッチして回復するの星のカービィの口移しシステムみたいだね
[0:59:45] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:03:06] おじゃるまる: 忍者って本当にCS綺麗だよね
[1:03:06] porkcurry05: ラカン逃げられた？ジャオに弾かれた？
[1:04:37] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[1:05:08] kurou_crunn: 盛大にすかってしまった
[1:05:20] おじゃるまる: フラッシュいらんかったーｗ
[1:05:21] porkcurry05: 中々盛大に行き過ぎた
[1:05:32] mamimumemome: あんなにいて０人は逆におもろい
[1:05:32] yukijirusi: !rank
[1:05:51] kurou_crunn: テクニカル雑魚フラッシュだった
[1:06:10] mamimumemome: わかるFありき
[1:06:13] kuruton2007: フラッシュ読みかと思った
[1:06:19] おじゃるまる: フラッシュする前の位置に全員集まっちまった
[1:06:45] yukijirusi: a
[1:06:54] porkcurry05: 030ヤスオが俺のせいではないなって顔してる
[1:07:05] kurou_crunn: ファイナルファンタジーやりたいんやろなぁ
[1:07:07] yukijirusi: 見方がな～ｗ
[1:07:07] mamimumemome: まあまあそういう生き物だし
[1:07:09] penpenguin10: 模範的ヤスオ使い
[1:07:18] penpenguin10: 誉すら感じる
[1:07:30] おじゃるまる: 伝統あるヤスオ
[1:08:27] penpenguin10: シンジャオも腐ってるのか
[1:08:57] yukijirusi: ダイア＝しょーもない
[1:09:19] penpenguin10: こういうね
[1:09:34] レモンウォーター: ヤスオはギブ
[1:09:56] yukijirusi: ｗ
[1:10:31] ぱと_らっしゅ: ここはひとつ侍の顔に免じて
[1:10:36] 星結별결: Cheer10
[1:11:05] penpenguin10: ニーコってマナ足りるんだね
[1:12:17] ぱと_らっしゅ: あまりにも結果が示してるｗ
[1:12:29] porkcurry05: あのヤスオ一体何円なんだろ
[1:12:37] LawnDaisy: 弱いコマで強いコマの時間を奪うのはどうたらこうたら
[1:12:53] 付和雷同: こんなに頑張ってるのにキル入らないのちょっと悲しい
[1:14:45] penpenguin10: びっくり箱
[1:14:46] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[1:14:53] porkcurry05: 青トリじゃなくて赤トリもつ
[1:15:20] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:15:31] ユーミ本人: このシンジャオ最初のガンクのフラッシュエグかったし正気じゃないよ
[1:15:57] yukijirusi: ぐれいらーすどこの配信にもいるな
[1:19:18] デレステの民: こんにちは
[1:21:04] おじゃるまる: ｗｗ
[1:21:27] muta_114: 持ち堪えれるもんだなぁ
[1:22:32] zyukuren: 忍者のレート帯でもフィードヤスオは現れるんやなあ
[1:24:51] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[1:25:32] ぱと_らっしゅ: うう；；
[1:25:41] amanen: がんばったよ
[1:26:04] りすぽん: ギリギリ限界バトル
[1:26:14] zyukuren: CS食べるだけのヤスオ
[1:26:19] kurou_crunn: tanukiKawaisoudegozaru
[1:26:38] れんが: こんにちはでござ
[1:26:42] tantan012: ヤスオだし…
[1:26:54] 木鉢: !opgg
[1:26:54] Nightbot: https://www.op.gg/summoners/jp/Ninja%20of%20Ninjas
[1:26:57] ユーミ本人: 自分を主人公だと思ってるタイプの人結構いるから・・・
[1:27:02] 環太平洋造山帯: エコーMIDって初心者には難しいですか？
[1:27:37] hextikk_: ヤスオならまだ舞えると思っちゃうんだよね
[1:27:41] 環太平洋造山帯: ありがとうございます！
[1:28:15] yukijirusi: なんかザイラよく見るけどOTPがいるだけ？
[1:28:25] kpega0: ハラスするときミニオンあぐろってどうすればうまく避けれますか？
[1:29:01] 与太マン: ZAGUZAGU
[1:29:02] 木鉢: ザグザグ
[1:29:06] yukijirusi: あれ弱いって言われてたけど強いんだ
[1:29:44] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:30:08] yukijirusi: ダメがスケールしないのが気になる
[1:30:42] mapstac: mapstac subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! 
[1:30:59] yukijirusi: ソリ言うほど強くない説ある？
[1:31:24] sannma_pie: ザイラのスキルはアイテムとルーン効果の発射台
[1:31:27] madlemongrass: 全部強くて全部正解
[1:32:45] ユーミ本人: 基本ザズザク持っとけば正解や！
[1:33:10] yukijirusi: 相手にアサシンいても？
[1:33:48] yukijirusi: なるほど
[1:33:54] レティツィア: その後アサシンの足遅くなるし
[1:34:22] ユーミ本人: アサシンに殺されるサポはセレスティアル持ってても死ぬよ
[1:34:25] madlemongrass: 質問です。サイオン強いと思うのですがランクや大会で滅多に出ない理由はなんですか？
[1:35:29] ユーミ本人: 去年のサイオンはなぜかレベル1でbotにいたしな
[1:35:45] madlemongrass: グウェン、エイトロ、ダリウスのタンク許さない三銃士がいるから？
[1:36:06] kitsune_of_shrine: ソロキューではゴミチャンプのコーキでもプロでは使われるし
[1:36:30] yu_dachi_poi: コーキも強いのにそんなにいないのそういう事か
[1:36:35] ユーミ本人: カサンテにも勝てないからねサイオン
[1:37:35] kitsune_of_shrine: コーキの勝率下から6番目
[1:37:45] sonic0023755390: カタリナとか
[1:37:46] yukijirusi: 今ってアーリーとレイトどっちの試合が多く感じますか？
[1:37:48] porkcurry05: ソロQだとコーキのポークもパッケージも待ってくれない
[1:38:04] zunda11111: NAとかじゃないと切るゲームならんイメージある
[1:38:07] sabatarou: ティーもとか
[1:38:25] ユーミ本人: バロン強すぎるせいで30分越えが基本な感じする
[1:38:43] yukijirusi: バロンが強すぎるからか
[1:39:08] madlemongrass: 序盤からヘラルドがいないのとバロンが狩りにくいから？
[1:39:10] hex65535: バロンもうちょいさくっととれるようにせんか？
[1:39:16] yukijirusi: びっくりしたスワップか
[1:39:48] yukijirusi: まーたシャコか
[1:40:27] sabatarou: ピンクワード以外にトップシャコする人いるんだ
[1:40:32] yukijirusi: 増永もあいつら来て欲しがってるって言ってた  syaruruYasero
[1:40:33] 木鉢: もうグレイラースはお腹いっぱいだよ
[1:41:20] yukijirusi: まずいか？
[1:42:49] yukijirusi: あ
[1:44:50] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[1:45:35] yukijirusi: クラブファイトうおおおおお
[1:45:36] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:46:07] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[1:46:19] yukijirusi: 取られちゃった
[1:47:53] かにぽんず: 赤守ってくれる味方あったけえ
[1:48:06] yukijirusi: 事件
[1:48:24] shibainudogs: 大事故
[1:48:32] amanen: あいや
[1:48:58] 木鉢: 着々とブラッドが育ってきてる
[1:49:45] yukijirusi: とりあえず仮面
[1:50:25] yukijirusi: 沼OP
[1:50:46] 木鉢: 良いキルルート
[1:50:53] りとるぼーい: ストライク
[1:50:58] ramiminn: あまりにも火力のないトリス
[1:51:12] 木鉢: 最近トリス流行ってるの？
[1:51:23] yukijirusi: 仮面できたしこれから…
[1:51:45] yatu_hasi: アカリ育ってるし何とかなるかも
[1:52:44] kurou_crunn: わーすか
[1:52:45] 木鉢: 良いね
[1:52:47] yatu_hasi: おいしい
[1:52:48] kitsune_of_shrine: 1:5かぁ
[1:52:49] yukijirusi: ままま
[1:53:07] yukijirusi: あれ？
[1:53:59] yukijirusi: 相手のってる
[1:56:49] yatu_hasi: 崩壊してないか相手
[1:56:52] kitsune_of_shrine: 相手頭おかしくなってる
[1:59:22] kurou_crunn: 事故ってる人もいます
[1:59:41] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:59:53] yatu_hasi: こーれ乗ってます
[2:01:51] auauuauauaaa: ホラーゲーム始まったな
[2:02:48] madlemongrass: ブランドのQいつ見ても弱いな
[2:02:54] chikin3537: バロンのBGM不安になるな
[2:03:06] porkcurry05: ブラッドに1000円は痛いか
[2:04:17] penpenguin10: 延々とスロウかかるのめっちゃうざそう
[2:04:20] kitsune_of_shrine: ブラッド装備やば
[2:04:48] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[2:04:53] yatu_hasi: うま
[2:05:06] porkcurry05: バロンバフはないなった
[2:05:24] penpenguin10: 今のブランドマナアイテムいらないんだ
[2:05:34] penpenguin10: あ、これジャングルか
[2:05:53] porkcurry05: 大事故ってないか
[2:06:23] sabatarou: 不穏な気配
[2:07:15] sabatarou: ブラッド強くない？
[2:07:43] penpenguin10: dotダメージは気分がいい
[2:08:56] porkcurry05: 頭おかし鳴ってる
[2:09:18] sabatarou: シャコが見えませんわよ
[2:11:14] sabatarou: うげ
[2:11:14] porkcurry05: ブラッドの孤軍奮闘やばすぎる
[2:11:19] o_penkai: ブラッドが最強すぎる
[2:11:28] りすぽん: ラカンｗｗｗ
[2:11:59] porkcurry05: CD詰めれば何でもいいんか
[2:12:37] なむなむー: なんか海外のOTPビルドらしい YouTubeかなんかで見た
[2:12:40] sabatarou: 時計じゃなくてフロハ？CD優先？
[2:13:25] tsukuyon: 全体的に安いアイテムでスパイク早めるのもあるかも
[2:13:34] porkcurry05: まさかの終わり方
[2:13:40] りすぽん: ｗｗｗ
[2:13:43] masjgfs: ｗｗｗｗ
[2:13:47] りすぽん: なんだこの結末は
[2:13:49] yatu_hasi: バックドアうおおおおおおおおおおおおおおおおおおおお
[2:13:51] yokobue: gg!
[2:14:18] おじゃるまる: アカリがバックドアしてんの違和感しかない
[2:14:46] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[2:15:16] ぽんでりん: このブラッドが負けるのかわいそうでござ
[2:15:17] madlemongrass: 今のアカリ足早過ぎてイライラする
[2:15:22] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[2:16:07] おじゃるまる: グラマスまでどれくらい？
[2:16:09] yukijirusi: ( ´Д｀)=3 ﾌｩ
[2:16:39] darksworks: ミッドが罠なのでは？
[2:16:40] おじゃるまる: mid43% RaccAttack
[2:16:48] yukijirusi: ミッドって…
[2:17:13] narunia02: 他のロールは強キャラ使うけど、midは遊ぶから勝てない説
[2:18:04] darksworks: TF強いのににんにんのTF勝率悲惨だ
[2:18:14] porkcurry05: そのカルマmidは14.1の雑魚い時？
[2:18:15] scarDlee: MID 驚愕のプールの広さ
[2:21:25] scarDlee: カルマガチらしいすね
[2:21:52] darksworks: TOPカルマもちょくちょく居るしやはりバフしたの良くなかったのではと思った
[2:21:53] くろみうむ3776: マリグカルマ結構うざい
[2:22:35] scarDlee: ウルトＱで7半分削られてビビりました
[2:22:54] darksworks: マントラ使い放題ビルドやべぇよ
[2:24:35] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[2:25:35] くろみうむ3776: ｼﾝｼﾞﾄﾞ…
[2:26:57] porkcurry05: サポはマオカイ以外できない体になっちゃった
[2:28:14] muta_114: エズカルマとか最近見ます？
[2:29:25] くろみうむ3776: OTP特有の謎ルーンかも
[2:29:43] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[2:29:45] sur4s4tann4: さっきのブラッドか
[2:30:53] くろみうむ3776: ブラッドの沼でカルマW切れる？
[2:31:59] quito314: 征服者のパワーでた？
[2:33:00] maguroud: よねいいぞ
[2:33:53] maguroud: 上下がちゃんと勝ってるの偉すぎないか？
[2:36:44] くろみうむ3776: マナに余裕があり過ぎるこのキャラ
[2:37:01] vanity_061: カルマって思ったよりマナキツくない
[2:38:35] nin641: 沼間に合っちゃうんだな
[2:38:54] shot_taka: あいつ叩くよりタワー叩くほうが金になるだろこれ
[2:40:22] nin641: おいし
[2:40:35] くろみうむ3776: プッシュが早すぎる
[2:41:25] ゼロ波: やばw
[2:41:35] nin641: マリグナンスやべえか？
[2:42:01] porkcurry05: 相手にスキル当たれば無限にウルトじゃん
[2:42:44] darksworks: これにコズドラとかクリプトブルームが積むとさらにやばく
[2:43:16] nin641: カーサスより相性よさそう
[2:43:42] shot_taka: RWならいきてた～
[2:43:58] nin641: なんでしないんだろうと思ったけどなるほど
[2:44:03] shot_taka: R押してたけどたぶんほんの少し上がってなかったね
[2:44:39] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[2:45:21] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[2:45:41] merino_xx: カーサスウルト来てもシールドあるの気分いいな
[2:45:48] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[2:46:29] 74589655: 偉い
[2:46:43] nin641: ｗｗ
[2:46:44] kurou_crunn: えぐ
[2:46:49] ktrbm: 人気なのも頷ける
[2:46:50] welldoneman1: tanukiWazamae
[2:46:52] 毎度有難う: パワー感じる
[2:46:55] ringo459: ずっとRQ回っててえぐい
[2:46:56] o_penkai: Rの回転ヤバすぎる
[2:47:02] okarina66: でもおもしろい？
[2:47:04] 豆の木ジャック: エズカルマのbotマジで強そうだな
[2:47:10] nin641: ジンクス火力わからずに手出しちゃった感じだ
[2:47:11] くろみうむ3776: ホライゾンフォーカス積む？
[2:47:23] aazzazz000: あれ４ぬの許せねぇよ
[2:48:02] nin641: ？？？
[2:48:04] kurou_crunn: マントラQ２連打やめろ
[2:48:05] ckuadesu: FootYellow
[2:48:10] sannma_pie: 3つあたると即帰ってくる
[2:48:11] くろみうむ3776: マリグ痛すぎ
[2:48:11] kitsune_of_shrine: インチキすぎる
[2:48:13] o_penkai: RQの2発目でR短縮されてる？
[2:48:13] nao_hijin: Qが間に合ってないw
[2:48:19] 与太マン: なんでそんなんなったん
[2:48:46] porkcurry05: ティーモと同じでマリグナンス前提のcdにしてくれ
[2:48:47] maguroud: 無限マントラ入っちまったか
[2:49:05] ktrbm: カルマのRでマリグ発動おかしいんだよな それならシンジドでも発動しろ
[2:49:08] くろみうむ3776: Eで2回RQで2回の20秒短縮できる
[2:49:25] darksworks: このビルド本当に終わってる
[2:49:50] maguroud: なぁニンジャなんかおかしくないか？
[2:50:14] nin641: サポートだと侮ったら死ぬな
[2:50:17] kitsune_of_shrine: カルマmidが育ってもふーん、って感じだったけど、これなら考え改めるわ
[2:50:24] ringo459: これが新シーズンのサポートか
[2:50:26] choi_daru: なんかもうCDRじゃなくてマナが問題になりそうなんがすごいわ
[2:50:29] maguroud: やっぱレシオ２０上がったのとマリグナンスはつええか？
[2:50:32] ゼロ波: 100年に一度の出来だ今年のカルマmid
[2:50:40] kaninomisoni: カルマやりたくなるな
[2:50:48] 与太マン: 無傷ｗ
[2:51:07] yusuke77792: セロスが喜んで使いそう
[2:51:16] darksworks: これにフロハ積むTOPカルマって考えてみ？
[2:51:58] ddd48s: ほんとにマナ枯れるな
[2:52:09] 豆の木ジャック: くそでかろっど
[2:52:54] おじゃるまる: 全部外したｗ
[2:53:10] nin641: ミッドなに
[2:53:20] nin641: 使おうか悩んでたけどカルマやるか～
[2:53:58] o_penkai: 草
[2:54:00] aazzazz000: 痛すぎ
[2:54:00] nao_hijin: 強い
[2:54:01] darksworks: RIOTさん、ナーフPLZ
[2:54:11] ckuadesu: BrokeBack
[2:54:12] maguroud: やってることやばいｗ
