[0:00:26] ryokucha112233: やあ
[0:04:48] オレンジ野郎: はよ降って休校しろ！
[0:04:54] 仲根にど: これ加工したらいい感じにならん？
[0:04:57] hiyokko3: そんなこといわないで
[0:04:59] manzu1010: 東京ふんの？
[0:05:01] 五年一組田中君: 降ってはないけどクッソ積もってるぞ(札幌)
[0:05:04] たおかん05: まじかよ、
[0:05:06] みなみのハナ: themus62Snoop themus62Snoop themus62Snoop themus62Snoop
[0:05:11] みわ5: おかえり
[0:05:12] himadesun: おはんよ
[0:05:13] jinjin0908: きた
[0:05:14] アルコール中毒者: うんけんき
[0:05:15] そいぺ: おはよう
[0:05:16] tdn_ndt: おかえり
[0:05:16] ばすｻﾝ: おはけんき
[0:05:16] 思春期の熊: こんけんき
[0:05:16] mokkun_orcs: うんこかえってきた
[0:05:16] アラベスク高田: おかえり
[0:05:17] meloso___: おはけんき
[0:05:18] 昆布畑: おかけんき
[0:05:18] らずきち: こんけんき
[0:05:18] しゅしょ: うんこん
[0:05:18] みわ5: miwa_4da subscribed with Prime. They've subscribed for 8 months! 
[0:05:19] 겉마음: どうだった？
[0:05:19] 8818papaiya: おはざす
[0:05:19] zorryffy: あ！うんこだ
[0:05:20] meloso___: こんけんき
[0:05:20] 村人の民: うんこおかえりー
[0:05:20] hoyhox: こんけんき
[0:05:22] kou0925: おはよう
[0:05:22] オレンジ野郎: こんけんき
[0:05:25] sin_key_law: はいおはよう
[0:05:25] metal_sasami: 手洗った？
[0:05:26] みなみのハナ: くっさぁ♡
[0:05:27] たおかん05: たおかん05 subscribed at Tier 1. They've subscribed for 4 months, currently on a 4 month streak! こんけんき
[0:05:27] らあすと: ohayo
[0:05:27] ウニばあす: こんうんき
[0:05:27] 仲根にど: けんきの新曲、タイトルUNKOですか？
[0:05:27] petbottle429: こんけんき
[0:05:28] ぺぷすぃ: こんけんき
[0:05:28] sa1ga_hsg: Ｙ(東京だけど降ってます)↩︎田舎民
[0:05:28] ちょも_125: うんこまんだ
[0:05:29] たこのあお: 今週のウン気はどうですか
[0:05:29] 赤カブト: おは
[0:05:29] ゆいかん: こんけんき
[0:05:30] matrix_025: 💩
[0:05:32] kqizi_525: うんけんき
[0:05:33] kaith_17: こんけんき！
[0:05:34] やまもろこし: うんこんちわ
[0:05:36] タラコの素: うんこ降ってる
[0:05:37] GGpok1u: 人
[0:05:37] manon4649: こんけんき
[0:05:41] meloso___: そっち雪どうなん？
[0:05:42] luke_cloudy: ノーマルタイヤなんだが帰れるか
[0:05:43] hamuta_fl: 🙏
[0:05:45] hiyokko3: スタヌリスペクトいいね
[0:05:46] 昆布畑: 人
[0:05:47] mokkun_orcs: うんちするだけで貰えるサブスク
[0:05:49] ぺぷすぃ: ぺぷすぃ is gifting 5 Tier 1 Subs to けんき's community! They've gifted a total of 27 in the channel! 
[0:05:49] ぺぷすぃ: ぺぷすぃ gifted a Tier 1 sub to shinboo1460! 
[0:05:49] ぺぷすぃ: ぺぷすぃ gifted a Tier 1 sub to Yskst! 
[0:05:49] ぺぷすぃ: ぺぷすぃ gifted a Tier 1 sub to yasushi_manabe! 
[0:05:49] ぺぷすぃ: ぺぷすぃ gifted a Tier 1 sub to ぶっちー1215! 
[0:05:49] ぺぷすぃ: ぺぷすぃ gifted a Tier 1 sub to sa1ga_hsg! 
[0:05:49] rinrin432: はえたたきやめてね
[0:05:50] オレンジ野郎: うんこまん今日なにするの？
[0:05:51] 仲根にど: かしこみかしこみやめてね
[0:05:52] らずきち: わぁ
[0:05:52] ぬまきち: 音ズレしてる？
[0:05:54] みわ5: kenkiWaa kenkiWaa
[0:05:55] petbottle429: うおおおお
[0:05:58] matrix_025: kenkiWaa
[0:06:00] みなみのハナ: サブスクください BloodTrail
[0:06:00] astonage: お前今日やばいらしいぞ雪
[0:06:01] andaseizounin: こんけんき
[0:06:02] たおかん05: kenkiWaa kenkiWaa kenkiWaa
[0:06:02] Neco7770: こんけんき
[0:06:03] ぱれっとクオリア: kenkiWaa kenkiWaa kenkiWaa kenkiWaa
[0:06:06] 8818papaiya: 覗き方がおっさん
[0:06:07] rinrin432: 誕生日おめでとう
[0:06:10] 仲根にど: チュピチュピチャパチャパかしこみかしこみ
[0:06:15] ぐるまゆゆゆゆゆ: こんけんき
[0:06:16] 村人の民: 降ってたら住所特定できそう
[0:06:19] manon4649: 部屋の中で裸足なのすごいな、床暖？
[0:06:22] トッティーニ: こんけんき
[0:06:24] ポニーテールしたメダカ: 今日のざかせんスクリム頑張ってください
[0:06:25] 赤カブト: うんこでサブスクを稼ぐ男
[0:06:26] astonage: 粉雪うたうか
[0:06:29] rinrin432: ダンジョンナンたら面白い
[0:06:29] みなみのハナ: ﾊｯﾋﾟｰﾊｯﾋﾟｰ themus62DancyCat
[0:06:29] ぺぷすぃ: 今日のために引きこもる練習しておいてよかった
[0:06:30] ko_wab: 俺も同じ空の下、どこかにいるけんきと一緒にウンコしてるんだなって考えたらエモかった
[0:06:33] riru74: 配信はじめてこれた
[0:06:36] ぐるまゆゆゆゆゆ: 今日マジで寒い
[0:06:37] matrix_025: こなぁ
[0:06:38] scrapcrafter25: こんけんき
[0:06:38] kaith_17: えっど
[0:06:39] たおかん05: 3回回ってワンって言ったらサブスクいいよ
[0:06:40] hiyokko3: ザカセンの話しはやめてください
[0:06:41] みわ5: kenkiKota
[0:06:43] 仲根にど: 部屋の中で蛇足？
[0:06:44] タラコの素: うまそうなおと
[0:06:48] andaseizounin: 東北なんですけど、正直5cmでニュースにしなくていいって思ってる
[0:06:49] ginji0222: こんけんき
[0:06:50] おもチ: 山梨のライブ映像だと雪凄いぞ
[0:06:51] やまもろこし: けんきさんの配信でコメ欄黙ったらどんな配信するの？
[0:06:54] ヤヤトゥーレ: こんけんき
[0:06:55] 太鼓持ち: こんけんき
[0:06:59] ayumiiii_san: 蛇足の睡眠配信が面白いよ。
[0:07:02] scrapcrafter25: unkoダイスするの？
[0:07:02] matrix_025: こたあ！
[0:07:02] ナイスなガイ: ん
[0:07:04] kibidango551: こんけん
[0:07:04] p90mann: こんけんき
[0:07:06] おもチ: https://clips.twitch.tv/SneakyTacitDonkeyPipeHype-8Y9YbIwJr0pGPZTs
[0:07:06] ぱんふぁい: こんき
[0:07:07] さかさま赤ずきん: こたげんき
[0:07:11] hamuta_fl: dasokuOwl11 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl22 dasokuOwl33
[0:07:12] アルコール中毒者: カニげーが神ゲー
[0:07:14] meloso___: こたおはよ
[0:07:17] たおかん05: kenkiKota kenkiKota kenkiKota
[0:07:18] ゆいかん: アジアンバニーも配信してる
[0:07:18] たこのあお: ずっと寝てますよw
[0:07:18] ko_wab: 蛇足が眠ってるってどっちの意味だ
[0:07:19] riru74: 23区だけどまだ降ってない
[0:07:22] metal_sasami: 寝配信してるよ
[0:07:24] みわ5: kenkiKaribu
[0:07:25] nikukyu72: こんにちは
[0:07:26] みなみのハナ: 😻
[0:07:28] オレンジ野郎: 多分これから降るよ東京
[0:07:28] kqizi_525: 学校行かなくて正解だったわ
[0:07:31] ぐるまゆゆゆゆゆ: かわいい
[0:07:32] 仲根にど: えらい渋い顔で寝てるな
[0:07:32] ぱれっとクオリア: kenkiKaribu
[0:07:34] manon4649: ほんとだ山梨バリ降ってる
[0:07:34] scrapcrafter25: ほんまやw
[0:07:34] bgfvhbvg: 今日は昨日のゲームやるの？
[0:07:34] ぺぷすぃ: 雪は午後から本気出すんでしょ
[0:07:37] meloso___: アジアンバニー行ってみようかな
[0:07:37] astonage: なんかあんのあいつ
[0:07:38] rinrin432: 今日めっちゃ暖かくねｗ
[0:07:50] osyoyuyasan: ^^/
[0:07:52] hiyokko3: みんなくるたび合掌してる
[0:07:53] pooh8825: 八王子降り始めたました
[0:07:56] らずきち: とんでもない？
[0:07:59] しろらいむ: おはようございます
[0:08:00] manzu1010: アジバニもねころんでる？？
[0:08:02] オレンジ野郎: ん？
[0:08:02] タラコの素: 屁臭いからじゃない？
[0:08:05] ゔぁるちゃー: おはようございます
[0:08:07] shibamaru3: がち萎えけんき
[0:08:10] ko_wab: The k4senの練習もしないといけないし
[0:08:12] みなみのハナ: themus62CatDance3 TwitchConHYPE
[0:08:13] 仲根にど: あれぶっさんも配信でやってたな
[0:08:21] kibidango551: どんなゲーム？
[0:08:28] osyoyuyasan: あれね
[0:08:29] ゔぁるちゃー: 父背卒業おめでとうございます〜
[0:08:30] merusiiii: ローグやる？
[0:08:32] kinakotikuwa39: kyouchTilyuusotu kyouchTilyuusotu kyouchTilyuusotu
[0:08:33] らずきち: あれかぁ
[0:08:33] ftam0201: こんけんき
[0:08:34] murasima: こんけんき
[0:08:38] みわ5: ロンドン
[0:08:39] 仲根にど: カスタムロボ？
[0:08:44] らずきち: あ
[0:08:46] hiyokko3: あー
[0:08:47] dddschool: あ
[0:08:48] bazz710: あ
[0:08:48] kuragary: あ
[0:08:49] みわ5: あ
[0:08:49] ぐるまゆゆゆゆゆ: あー
[0:08:49] astonage: あ
[0:08:49] kibidango551: あ
[0:08:50] オレンジ野郎: あ
[0:08:51] ランボルぎゅーにゅー: こんけんき
[0:08:52] 悪魔的うたのさん_たいら: こんけんき
[0:08:52] のむのむの: あー
[0:08:53] らずきち: あー
[0:08:53] kaith_17: あ
[0:08:53] metal_sasami: あ
[0:08:54] shibamaru3: ﾁｭﾋﾟﾁｭﾋﾟﾁｬﾊﾟﾁｬﾊﾟ
[0:08:54] らあすと: ああ…
[0:08:54] オレンジ野郎: もしかして？
[0:08:55] luke_cloudy: あ
[0:08:56] まぐろさん_: あーあ
[0:08:56] ぱんふぁい: あー
[0:08:57] osyoyuyasan: あ・・・・ｗ
[0:08:58] tdn_ndt: うーわ
[0:08:59] petbottle429: データばいばい
[0:09:00] 仲根にど: 凡ミス
[0:09:01] syuimee: こんけんき
[0:09:02] hiyokko3: 今世紀最大のやらかし
[0:09:03] オレンジ野郎: しょ、きか
[0:09:06] アルコール中毒者: もう1回遊べるドン
[0:09:06] ダンデり: まぁデモ版だったから・・
[0:09:07] osyoyuyasan: 凡ミスのけんき
[0:09:17] metal_sasami: セルフワイプ
[0:09:17] ウニばあす: 🥺
[0:09:19] ランボルぎゅーにゅー: 何が起きたん？
[0:09:20] bazz710: まだ1日しかやってないから・・・
[0:09:28] kaith_17: 萎えけん
[0:09:28] osyoyuyasan: まだ１日やし
[0:09:31] fw126: やっちゃったなー、、、
[0:09:35] 赤カブト: 保証してもらおう
[0:09:39] astonage: ワイプダッシュ失敗
[0:09:39] ランボルぎゅーにゅー: データ消えたんか
[0:09:41] ゆいかん: 昨日のムラゲの試合見た？
[0:09:41] らあすと: Dungeonborne https://store.steampowered.com/app/2448970/Dungeonborne/
[0:09:42] shishimai43: こんけんき
[0:09:42] kibidango551: ほなlolやるか
[0:09:45] ayayan11: dunなんちゃらじゃね
[0:09:47] petbottle429: Dungeonborne
[0:09:47] matrix_025: でも結構やっちゃった
[0:09:48] ぱんふぁい: まあ今気付けてよかった
[0:09:49] アルコール中毒者: dungeon
[0:09:52] scrapcrafter25: こたぁ
[0:09:53] osyoyuyasan: こっからVtuberともういっかいやれる！
[0:09:58] shape_196: NotLikeThis NotLikeThis
[0:09:58] みわ5: ｗｗｗ
[0:09:58] 仲根にど: 猫ミームで頭抱えてるのが脳内再生されちゃう
[0:09:58] dddschool: あ
[0:10:00] ポニーテールしたメダカ: ｗｗ
[0:10:00] roroara: こんにちはー
[0:10:01] ko_wab: 実際でるしね
[0:10:02] astonage: あ
[0:10:02] murasima: ややこしいことになるな
[0:10:03] みわ5: ざ、かせん
[0:10:03] こみクッキー: wwww
[0:10:03] osyoyuyasan: ｗｗｗ
[0:10:03] さとうでした: ｗｗｗｗｗ
[0:10:04] scrapcrafter25: www
[0:10:04] iiikmiii: www
[0:10:05] らずきち: ｗ
[0:10:09] petbottle429: いったんね
[0:10:11] 8818papaiya: 他のゲームは？
[0:10:11] らずきち: ただすきでやってるのにｗ
[0:10:12] 仲根にど: 逆張りのけんき
[0:10:13] みんこよ: こんにちは～
[0:10:14] stable_diffusion_master: ザカセン出ないのにLoLやってるんですか？
[0:10:14] shibamaru3: チームだれとですか？
[0:10:14] kibidango551: 出る人は夜やるから
[0:10:16] shishimai43: ふぁ、いなるずは？
[0:10:16] t2ba8a: 誘われてないんですか？？？？
[0:10:16] らあすと: けんきがアップを始めました
[0:10:19] luke_cloudy: ww
[0:10:19] ぐるまゆゆゆゆゆ: www
[0:10:20] bazz710: 昨日の事は忘れようか
[0:10:21] hiyokko3: けんき、おれくやしいよ
[0:10:22] scarlesie: おいフォローしてる奴でお前しか配信してないぞ
[0:10:23] greencoff33: 青龍いるか
[0:10:26] merusiiii: くそ気まずい笑
[0:10:27] 五年一組田中君: 雰囲気出すぐらいなら自由
[0:10:28] とろたまうどん: ブルプロやろう
[0:10:28] metal_sasami: 出る組はいまみんな寝てるよ
[0:10:29] murasima: いいだろ、やっても！！
[0:10:30] やぶかぶ: ヘイローしますか
[0:10:30] ぱんふぁい: wwwwwwwwwwwwwww
[0:10:31] たける: じゃあスト6やろ
[0:10:31] てーヘん: www
[0:10:32] osyoyuyasan: けんきさんはサッカーで忙しいのに他のイベントに出れるかよ
[0:10:33] ランボルぎゅーにゅー: そんな奴殴れ
[0:10:33] kuragary: www
[0:10:34] dddschool: BibleThump BibleThump BibleThump
[0:10:36] おもチ: 初心者LoL枠にけんき居なかったんだけど
[0:10:37] さとうでした: 出そうな雰囲気で視聴者集めよう
[0:10:38] andaseizounin: というかチームと出る人発表されたのに今いう人はやばいぞ
[0:10:38] ねめちゃ: BibleThump
[0:10:40] セッター: ちぴちぴちゃぱちゃぱどぅびどぅびぶーん
[0:10:40] SIKABANE173: そこまで言われるやろかww
[0:10:42] タラコの素: ざけんき開くしかない
[0:10:43] たくあん01: こんけんき
[0:10:45] kibidango551: ノリアキさんもやってるしやろう
[0:10:46] 仲根にど: それはとめるもlolすんなゴミが、ってこと？ひどくない？
[0:10:48] mizunomitaro: ノリアキさんもやってるぞ！
[0:10:48] 8818papaiya: もうけんきもthe Kenjiしようぜ
[0:10:48] 赤カブト: ス、タンミいなくなったのか
[0:10:49] Rou49671: thek4senはノーギャラだから
[0:10:49] しろらいむ: なら、スト6で同じコメント求める？
[0:10:50] hiyokko3: WWW
[0:10:55] kaith_17: ディスケンキ開こう
[0:10:56] mokkun_orcs: けんきは無敵の人なんだからそんな奴ら殴ってやれ
[0:10:59] ko_wab: The k3nki開こう
[0:11:00] コモン: ただ遊びたいだけなのに
[0:11:01] osyoyuyasan: ファイナルズやるっきゃないか
[0:11:01] こみクッキー: vdkにも言われてて笑った
[0:11:08] liblibra: こんけんき
[0:11:09] osyoyuyasan: あ
[0:11:14] astonage: 既にあるんだろ？pcに
[0:11:15] petbottle429: wwww
[0:11:15] mumr4: the nom4はないんか？
[0:11:16] セッター: あ
[0:11:17] shibamaru3: OMG
[0:11:20] オレンジ野郎: あ、ほ
[0:11:22] bazz710: w
[0:11:22] まぐろさん_: おじいちゃん
[0:11:22] hiyokko3: 疲れてるね
[0:11:23] roroara: 色々大変だね
[0:11:24] sin_key_law: なにいってんだ？
[0:11:28] andaseizounin: 自分のPCにある
[0:11:31] matrix_025: だいじょうぶかww
[0:11:38] astonage: 別垢で入れてるもんなぁ
[0:11:39] ウニばあす: けんき、ショックで記憶が...
[0:11:41] osyoyuyasan: これにはこたもニンマリ
[0:11:42] luke_cloudy: だいぶ動揺してんな
[0:11:42] syuimee: ストーリーhttps://www.instagram.com/yokokaramariko?igsh=MzRlODBiNWFlZA==
[0:11:50] SIKABANE173: 話変わるけどプロFどうなの？
[0:11:54] merusiiii: 昨日結構やってたよね
[0:11:55] syuimee: かなしい笑
[0:11:57] ayayan11: メンタル結構きそうやな
[0:12:00] 仲根にど: 猫ミームが流行ったおかげで色んなゲームのランクの闇解説動画が増えて助かってます
[0:12:02] shibamaru3: 哀しみのけんき
[0:12:09] はまオジ: こんけんき
[0:12:13] らあすと: ログボキャラ獲得が一日遅れた
[0:12:14] 五年一組田中君: やっぱりアカウント返さないといけないの？
[0:12:24] osyoyuyasan: 悲しみ いやす 検索
[0:12:32] はまオジ: 誰？
[0:12:34] ayayan11: おれは分かるよ
[0:12:34] ぐるまゆゆゆゆゆ: しらない
[0:12:34] manon4649: パチンカスのにゃんたこさん
[0:12:38] scrapcrafter25: 久々に聞いた
[0:12:38] 五年一組田中君: 誰？
[0:12:38] petbottle429: にゃんたこって？
[0:12:39] ぱれっとクオリア: 知ってるだろ
[0:12:42] とどちゃん: 知ってるよ可愛いし
[0:12:42] ぺぷすぃ: お風呂入らないひとだっけ
[0:12:45] 仲根にど: 美人の人やな
[0:12:49] とどちゃん: YouTubeから伸びた子
[0:12:53] 赤カブト: 久しぶりです
[0:12:53] king_macky: こんにちは
[0:12:53] みわ5: BibleThump
[0:12:54] sin_key_law: やめな
[0:12:56] オレンジ野郎: なんかいってら
[0:12:58] やぶかぶ: 一週間服が変わらない人？
[0:12:58] がはは_: ちくちく
[0:12:59] kuragary: www
[0:13:00] osyoyuyasan: ねぇんだ
[0:13:01] kibidango551: ねぇから奢るからっていってんだよ
[0:13:03] はまオジ: グサグサ
[0:13:03] as4kura3: 弱いって
[0:13:05] なむなむー: にゃんたこって誰？→バケモン
[0:13:07] SIKABANE173: あるんならそれを活用してるんだよ、、
[0:13:07] ぱんふぁい: あったらそうしてんだろうが！！！
[0:13:08] まぐろさん_: 無いから金を出すんだ
[0:13:10] ぺぷすぃ: 危機感
[0:13:11] abragishneet: でも港区女子に奢るって言ったらホイホイついてくるよ？
[0:13:16] ポニーテールしたメダカ: ゲームのランクくらいしか自慢できない
[0:13:21] はまオジ: それってあなたの感想ですよね
[0:13:23] king_macky: ほいほいついて行っちゃうよな
[0:13:24] 仲根にど: なんなら金もねえんだよ
[0:13:28] osyoyuyasan: 武器がねぇんだでも金は全ての武器に通用するんだ
[0:13:29] petbottle429: 早口でアニメトークするか
[0:13:37] syuimee: あ
[0:13:37] manon4649: ；；
[0:13:37] t2ba8a: あ
[0:13:40] らずきち: あ
[0:13:40] みわ5: あ
[0:13:41] metal_sasami: あ
[0:13:42] syuimee: え
[0:13:43] abragishneet: 効いた
[0:13:43] はまオジ: 火の玉ストレート
[0:13:47] manon4649: 泣いた
[0:13:48] murasima: 金だけくれってことか
[0:13:49] ぺぷすぃ: きちい・・・
[0:13:50] ぐるまゆゆゆゆゆ: BibleThump
[0:13:50] sa1ga_hsg: 奢り前提かな
[0:13:51] stg_satoshi: けんきさんおはようございます
[0:13:53] hiyokko3: きまったな！
[0:13:54] dddschool: こっちもそれでいいし
[0:13:55] SIKABANE173: もはやこっちもその気持ちじゃないと
[0:13:55] t2ba8a: 朝からぐさぐさしてるね
[0:13:55] デュタ: 使い捨て
[0:13:58] as4kura3: 危機感持った方がいいって
[0:13:59] みわ5: お客さんってこと
[0:14:00] oshirosan: お、金
[0:14:01] はまオジ: なんなら本当は金だけもって帰りたいと思ってるぞ
[0:14:03] 月藤藍: 金の切れ目が縁の切れ目
[0:14:05] abragishneet: 追い打ちやめて；；
[0:14:06] 仲根にど: パパ活おじさん泣いちゃうよ
[0:14:06] ko_wab: じゃあ割り勘でいくか
[0:14:07] ぱんふぁい: BloodTrail
[0:14:07] チビレナス: こんけんき
[0:14:08] ボン太郎: 金だけの関係だな
[0:14:09] manon4649: 札束の厚みで高まる信頼感
[0:14:10] thanks_good: メンタルコーチやめて
[0:14:12] kaiju8gou: そこから始まる恋はないのか、
[0:14:12] carry_on_my_way: か、ねづる
[0:14:13] haluaoi: ちゃんと金払わないと二毛作されるよ
[0:14:14] 五年一組田中君: お前についてきてるんじゃなくてお金についてきてる
[0:14:19] ポニーテールしたメダカ: やばいって
[0:14:19] scrapcrafter25: か、も
