[0:00:43] いふく: あのエビにmidを！？
[0:21:25] EGO1ST2323: 隙あらばスウェイン
[0:21:25] もうちょい: それだ～ｗ
[0:21:26] nukmor: スウェイン工場オープン
[0:21:43] quito314: タヌキ門下生基本のスウェイン
[0:21:43] sbjib: 旬
[0:21:43] endooomame: ぎ、む
[0:21:56] あろ3: 今夜勝ちたい
[0:21:59] マリフネ: ま～たスウェインすすめてる…
[0:21:59] Pinochiiiii: sasuga
[0:22:02] カーヴ: 今日勝てるlol
[0:22:08] dong86r: 択を用意しよう
[0:22:14] sinma001: よし、スウェイン使い一人増えたな
[0:22:14] legitfroggy: 忍者塾はミニオン論が必修
[0:22:15] sbnobutbs: スウェインならJG以外行けるメリット
[0:22:23] darksworks: これでスウェインOTPがまた増えた
[0:22:23] Siranui77: スウェイン軍団がまた増えちゃうよ
[0:22:52] 正気新宿: 一瞬目離したらまたスウェイン出荷してて草
[0:22:59] Kiri_1111: あのshowmakerもworldsで使ってます
[0:23:03] うに脳筋: エクスアルビオさんのrボタンに用事があるでござる
[0:23:05] dorujichan: 1年で言ったらすげえ
[0:23:07] legitfroggy: あの1年でプラチナいけません
[0:23:28] khumama: フラッシュはDkeyがいい
[0:23:40] darksworks: 一年でプラチナ行こうとしたらミクロとマクロが伴ってないと無理だ。。。
[0:24:04] boogieman0118: おもろい配信してるやんけ
[0:24:08] dorujichan: 今日勝てるかつチャレでもいける！？
[0:24:14] taluhika: ｗ
[0:24:17] Pinochiiiii: www
[0:24:18] amakusa3065: ｗ
[0:24:20] Siranui77: そうだろうが！
[0:24:21] legitfroggy: ほんとに勝てるからたちが悪い
[0:24:22] supermorinphen: 初心者大会でみんなキャラ被ってるのが問題ではあるw
[0:24:22] sukinnbagu: たぬき版マルザ
[0:24:28] sheryl2022: そうじゃないのか？
[0:24:30] sinma001: あと、スキンいいのがないってのも……
[0:24:33] Nao_Neumann: スウェイン好きだぞ
[0:24:34] Pinochiiiii: けっかネガキャンにｗ
[0:24:41] つばごん: まーた義務スウェインやってんのかｗｗｗｗｗ
[0:24:42] NemoUQ: ここ数年は常にちょっと良い位置に居るよねスウェイン
[0:25:24] 来来楽陽樹: 毎回説明してるのに毎回困ってるの何～
[0:25:29] インペリアルデグー: スウェインってことは即戦力希望なのかな？
[0:25:33] legitfroggy: 体系化していけ
[0:25:36] amakusa3065: 集団戦で脳のリソース割かなくてもいいのがつよい
[0:25:40] れすと123: 昔のugの動画とかいいかも
[0:25:44] ayukunddd: ウェーブコントロールから教えるの好きね
[0:26:05] endooomame: みんなスマッシュログ履修しよう
[0:27:32] supermorinphen: ウェーブコントロール塾
[0:27:37] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[0:28:13] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[0:28:39] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[0:29:11] sinma001: そこ教えないとね
[0:29:59] dorujichan: フリーズはむずかしそ～
[0:30:03] sinma001: ちょっと分かりにくいかな
[0:30:05] sima_same: むずーい
[0:30:05] sukinnbagu: 教えるのむずすぎて草
[0:30:07] きゅべりあさん: クッソ難しいけど基本を教えるのむずいねー
[0:30:11] supermorinphen: タワー入っちゃうとね
[0:30:16] legitfroggy: これがmidのすべてなんだよね
[0:30:20] 来来楽陽樹: 毎回こうなってるｗ
[0:30:23] レイムゥ: やっぱウェーブ難しすぎだ
[0:30:32] tatumoto: 何のためにそのウェーブ作るのか？
[0:30:40] こたたぴレボリューション: むずすぎて草
[0:30:56] たぴおかぱん: 大変やねえ
[0:31:05] dorujichan: ・・・
[0:31:09] k4izar: …
[0:31:13] つばごん: 答えてあげてｗ
[0:31:16] ayukunddd: 無言ｗ
[0:31:27] boogieman0118: たぬきいっぱいいっぱい
[0:32:32] sukinnbagu: レベルとかミニオンアグロとかの話しないと有利という実感わかなさそう
[0:32:56] レイムゥ: 1on1で教えてみたらわかるか？
[0:32:59] dorujichan: あとでウェーブおすことのメリットデメリットウェーブ引くことのメリットデメリットをまとめたいね
[0:33:19] tlaloc0201: プッシュしてワード置いてjgと協力する黄金パターンが強すぎる
[0:33:53] darksworks: リズムゲーなんすよね
[0:34:07] sinma001: レーンの勝敗はどうやって決まるかも教えた方がよくね、キルデスだけじゃなくCS数を多く取った方がいいとか
[0:34:10] boogieman0118: 前衛と後衛のタワー下は覚えたいね
[0:34:11] fisicna: だからタワーに押し込むのが強いって事なんじゃ
[0:34:24] legitfroggy: ダミー後ろに置いとけばいい
[0:34:34] きゅべりあさん: ダミー置けば止められるよ
[0:34:35] Siranui77: ミニオンの攻撃も合わさるとムズいねー
[0:34:37] ぐえ一: 手前に敵のダミーおいてせき止めたらいいんじゃない？
[0:34:48] dorujichan: ダミーうしろおくかぁ
[0:34:58] 来来楽陽樹: 早送りするとミニオンバグるのだるいんだよな
[0:35:21] darksworks: プロキシのようにダミー置けばいいのか
[0:35:43] sinma001: まさに初心者
[0:35:52] Siranui77: ステータスも収入も何もかも
[0:36:08] darksworks: そして物理防御力も違う
[0:36:15] takashina06: いい反応w
[0:36:19] sinma001: ＩＮぜりー
[0:36:20] legitfroggy: 巧妙なinゼリー宣伝
[0:36:20] ぽいだお: インゼリー
[0:36:21] 切り干し: inゼリー
[0:36:21] もうちょい: inゼリー
[0:36:24] ayatujisan: inゼリーミニオン
[0:36:29] Kiri_1111: inゼリー
[0:36:30] レイムゥ: inゼリー
[0:36:40] sukinnbagu: おいしそう
[0:36:49] たぴおかぱん: inゼリーPRたすかるでござ
[0:36:52] Kiri_1111: マジで誰も知らないミニオン情報
[0:36:52] darksworks: inゼリーなんか強くね？
[0:39:41] jpnpokoking: タンク7回にAA１回か初めて数えたわ
[0:40:04] darksworks: キャノンって7回目でAAで取れるのか初めて数えたわ
[0:40:59] yurapoyomaru: タワーショット出るところから近い順に攻撃されることも大事よね
[0:41:06] legitfroggy: 結局訓練
[0:42:01] meitoku2000: コツよりプラクティスで練習あるのみ
[0:42:09] meitoku2000: な気がする
[0:42:13] oya1642: エビオは連打癖すごいからそこ咎めて欲しい
[0:42:20] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[0:43:04] たぴおかぱん: スウェイン便利だ
[0:43:18] ayatujisan: 強そうなチャンプだなあ
[0:43:43] tatumoto: じゃあCSよりハラス優先？
[0:43:50] jpnpokoking: マッチアップ次第
[0:44:24] sasa330: 誰使いたいか聞いて
[0:44:30] legitfroggy: 弟を見習ってくれ
[0:44:42] レイムゥ: 弟はあるんだけどな～ｗ
[0:44:46] sasa330: 10歳差の兄弟ゆえ
[0:44:53] きゅべりあさん: 兄を敬え
[0:44:56] darksworks: クライアントを直さないともう無理だ。。。
[0:45:03] darksworks: 作り直さないと
[0:45:08] maxbes__: エビオは何のキャラ使うの？
[0:45:29] Kiri_1111: パンテオンとヴェックスとオリアナ使ってたらしい
[0:45:44] maxbes__: なるほど
[0:46:24] khumama: 当てやすいけど当てにくい
[0:47:32] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[0:49:12] clo075: こいつはハラス重視でプッシュが弱い。後半強い
[0:49:18] jpnpokoking: ゾーニング能力が高すぎる
[0:50:42] darksworks: 初心者に教えてるのを見て思うけどこのあまりにも知識ゲーすぎる
[0:51:05] legitfroggy: CS取らないといけないのがね
[0:51:07] clo075: 知らないチャンピヨンが対面に来たら死ぬゲームだもん
[0:51:47] clo075: 集団戦キャリー
[0:51:54] たぴおかぱん: ｗｗｗｗｗ
[0:51:58] 中トロの刺身: またスウェイン布教してるのか
[0:52:10] xxtidorixx: スウェインマルザ製造工場
[0:52:19] clo075: 低ランクおすすめは皆スウェインマルザとかよ
[0:52:25] まろのすけ: R
[0:52:44] まろのすけ: Rのプライオリティたかいよね
[0:52:46] Zenoa: tanukiFree
[0:52:48] madlemongrass: ベイガーやスウェイン？
[0:52:52] たぴおかぱん: スウェインだな
[0:53:05] レイムゥ: メイジプレイヤーだ...
[0:53:12] clo075: スウェインはRして真ん中立ってれば活躍はできるけど、派手ではないな
[0:53:17] legitfroggy: そんなあなたにスウェイン
[0:53:18] 反駁: でもスウェインおもんなくない？
[0:53:21] madlemongrass: ブランドも集団戦ウルトだけでも仕事する印象
[0:53:31] 切り干し: キル取れてスノーボールする楽しいチャンプのほうが初心者にはおすすめな気がする
[0:53:34] darksworks: Rポチで勝てるのがスウェインマルザだけど飽きるんだよな
[0:53:38] legitfroggy: たぬきmontage
[0:53:39] quito314: こうしてまた一人スウェイン沼に沈める
[0:53:43] コド: スウェイン楽しいよ
[0:53:45] Zenoa: PogChamp PogChamp
[0:53:46] sxottle: スウェインは地味なのがな
[0:53:50] jpnpokoking: 実際勝ててるしマクロがある試合になるランクまでは勝てるチャンプ擦るしかないよ
[0:53:58] maedaeda: スウェイン教
[0:54:10] xxtidorixx: スウェインは突っ込んでいって生き残りつつ吹き飛ばしていくの楽しいと思うけどなマルザは知らん
[0:54:23] madlemongrass: スウェイン今だときつい奴強くなってトコトンきつくない？
[0:54:23] boogieman0118: まずは勝つことが楽しいんだよな
[0:54:30] まろのすけ: リプレイ見るとき可能ならマップ見たいでござ
[0:54:33] sinma001: ワード学はまた奥が深い
[0:54:35] hc315: みんな雰囲気で置いてる
[0:55:11] Zenoa: LUL
[0:55:14] もうちょい: いいリアクションだ
[0:55:18] 風待人: ずり～
[0:55:20] たぴおかぱん: ｗｗｗｗ
[0:55:25] mo_mo_mo_3: 永続！？
[0:55:33] りばーせ: いいリアクションだ RaccAttack
[0:55:42] nosamushiro: 察しがいい
[0:55:44] たぴおかぱん: 理解はえー
[0:55:48] ぽっど: センスのある回答
[0:55:49] hinadarumahs: 上のドラゴンw
[0:55:50] madlemongrass: 安全圏から視界見たい用
[0:55:51] yakibuta029: 上のドラゴン（意味深）
[0:56:11] yakibuta029: スワップ・・・えっ
[0:56:15] jpnpokoking: 13分でプレートが無くなるからね
[0:57:28] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[0:57:58] Zenoa: LUL
[0:58:01] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[0:58:08] きゅべりあさん: バロンの紹介BGMかなｗ
[0:58:13] legitfroggy: 雰囲気でlolしてます
[0:58:22] レイムゥ: 雰囲気いくぞおお
[0:59:19] darksworks: オラクルレンズは奇襲とかデワード用だ。。。
[1:00:14] tatumoto: 黄トリいつどこに置くべきか
[1:00:31] xxtidorixx: とてつもなく面倒な状況次第
[1:01:43] tomsonboya: マップ隠しが
[1:01:45] 切り干し: マップ隠ししてる
[1:02:26] jpnpokoking: 1ウェーブくったらおいていい
[1:02:43] かいんです: 味方のjgの動き見たらいいんじゃない？
[1:04:03] ぐえ一: スワップの話はいつする？
[1:04:52] maruppe49: RaccAttack RaccAttack RaccAttack RaccAttack RaccAttack RaccAttack
[1:04:55] しいていく: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:04:55] torinite67: takaya2Kuii takaya2Kuii takaya2Kuii takaya2Kuii
[1:04:55] たかやスペシャル: 2130 raiders from たかやスペシャル have joined! 
[1:04:56] pokoro31: DinoDance DinoDance DinoDance DinoDance DinoDance DinoDance
[1:04:56] directmap: takaya2Thegame
[1:04:57] piepyse: RaccAttack RaccAttack RaccAttack
[1:04:57] shibush16u: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:04:57] なませ: takaya2Inowave takaya2Inowave takaya2Inowave takaya2Inowave takaya2Inowave takaya2Inowave takaya2Inowave takaya2Inowave takaya2Inowave takaya2Inowave takaya2Inowave takaya2Inowave
[1:04:57] hannya_tou: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:04:58] sushiboy345: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:04:58] ねろこ: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:04:58] レイムゥ: あ
[1:04:58] ねねこ先生: 🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！
[1:04:59] aongoan: takaya2Kabuki
[1:04:59] ふーちゃ: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:04:59] 岩蛇: RaccAttack RaccAttack RaccAttack RaccAttack RaccAttack
[1:04:59] スナップキン: OWL2019Tracer OWL2019Tracer OWL2019Tracer
[1:05:00] tetu1011: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:00] ラムジー3: takaya2Emerald takaya2Emerald takaya2Emerald takaya2Emerald
[1:05:00] makuri_ow: RaccAttack RaccAttack RaccAttack RaccAttack RaccAttack
[1:05:00] ジーパン_: takaya2Haegiwa takaya2Haegiwa takaya2Haegiwa takaya2Haegiwa takaya2Haegiwa takaya2Haegiwa takaya2Haegiwa
[1:05:00] あいあい: たかすぺから
[1:05:00] mou1is: ザゲッス
[1:05:01] liydekopon: 🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！
[1:05:01] うああです: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:01] tubasadeutsu_35: takaya2Thegame takaya2Thegame takaya2Thegame
[1:05:01] kiremendanyuu: RaccAttack takaya2Kabuki2 RaccAttack takaya2Kabuki2 RaccAttack takaya2Kabuki2
[1:05:01] きせき0913: takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame
[1:05:02] wapico_: vioGAY vioSPIN vioGAY vioSPIN vioGAY vioSPIN vioGAY vioSPIN vioGAY vioSPIN vioGAY vioSPIN vioGAY vioSPIN
[1:05:02] ウィートン: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:02] conbucha0829: takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame
[1:05:03] silvermaus: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:03] hannya_tou: takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame
[1:05:03] haru_x4: takaya2Kuii takaya2Kuii takaya2Kuii takaya2Kuii takaya2Kuii takaya2Kuii
[1:05:03] mugimiya: ザゲザゲわ～
[1:05:03] 瞬足アキレス: takaya2Inokunn takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:03] meran8528: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Basunori takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:03] hc315: takaya2Iei3 takaya2Iei3 takaya2Iei3
[1:05:04] オノコ: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:04] healing__healing: たか、や
[1:05:04] shirataki75: takaya2Kabuki takaya2Kabuki
[1:05:04] endooomame: うんこまん！？
[1:05:04] rakuraku_man: ザ・ゲーム！ BloodTrail BloodTrail BloodTrail
[1:05:05] がるマロ: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:05] puypuyo: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:05] bani_nq: HeyGuys HeyGuys HeyGuys HeyGuys HeyGuys
[1:05:05] maruppe49: にょっす RaccAttack FBBlock
[1:05:05] ぱらめた: vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN ResidentSleeper vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN vioHYPERSPIN
[1:05:05] soukakato: あ、つまんね
[1:05:06] ceofesta: takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame
[1:05:06] dmtjpmaptw: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:07] phoenixflareflame: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:07] dong86r: えこー
[1:05:08] kanabun9: BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail
[1:05:09] nosamushiro: エコー化
[1:05:09] makomakon: 荒らし
[1:05:09] ieiziks: 🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！
