[0:00:36] ブタ麺うますぎ: たぬきおじゃ tanukiGoja
[0:00:41] kouineman: Kreygasm
[0:26:45] masatedi: エイトロ相当うまくやったけど
[0:26:47] fantasoisauce: 育ちすぎている
[0:26:47] yappi000: ？
[0:28:04] pirosue_: シーンのCDはずっと1.5じゃなかった？
[0:28:51] masatedi: ぴょんぴょんしてます
[0:29:07] lucky_punch1111: めちゃくちゃいいフロントだ
[0:29:07] pirosue_: 少なくともディバインの頃から1.5だった
[0:29:13] Pinochiiiii: つよ
[0:29:25] zawachii: やっとフルスタックや
[0:29:33] katojunichilove_forever: EのCDこう見ると効いてるな
[0:30:09] pirosue_: ちょこちょこ絶望とWでモリって回復するの草
[0:30:19] hecate000: 阻害ほしい
[0:30:31] yatu_hasi: フルタンクなのにダメージ出せるのか
[0:30:34] geatarou: 重症積まれないの謎
[0:30:59] 城です: ｗがヘルススケールだからタンクだけでもダメージ出る
[0:31:07] pirosue_: 毒蛇は草
[0:31:10] katojunichilove_forever: ヘイスト20しかないエイトロ
[0:31:22] masatedi: たぬきひどいよ
[0:31:26] siete1: あのヘルス減ってないんですが
[0:31:27] 風呂_: かわいそう
[0:31:28] burningpantz: 勝つためのビルドで負けちゃった
[0:31:48] pirosue_: ホントに勝ちたいなら
[0:32:02] zawachii: 生気付与じゃないんですね
[0:32:11] pirosue_: エイトロほんとに勝ちたいならドスカイに行け
[0:32:15] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[0:32:52] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[0:32:55] sharryphase: HPが減らないでござ
[0:32:57] amakusa3065: 全てを破壊する勢いじゃんｗ
[0:32:57] Pinochiiiii: むりすぎるｗ
[0:33:00] haguree: 人はクマに襲われると死ぬ
[0:33:05] merino_xx: ヴァルス落としたら何があっても勝ちなんでね
[0:33:13] burningpantz: 難しい事しなくても強いいいチャンプ
[0:33:16] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[0:33:16] 城です: たぬきびさーじゅの効果量見せて
[0:34:07] lucky_punch1111: おっせえ
[0:34:17] pirosue_: やっぱ怪しいよなwww
[0:34:24] lucky_punch1111: えっぐwww
[0:34:29] amakusa3065: それまで出来たら最強じゃん
[0:34:30] siete1: バグか？
[0:34:54] lucky_punch1111: 雰囲気バロンをやらない事か
[0:35:08] burningpantz: 撤退の判断できないと大事故起きちゃう
[0:35:09] えいるえいる: w
[0:35:16] zawachii: 達人の間合い
[0:35:17] lucky_punch1111: 虚無
[0:35:26] ねろこ: tanukiGoja tanukiGoja
[0:35:28] letaran: こんちゃこんちゃ
[0:35:44] siete1: ｗ
[0:35:50] masatedi: うますぎだろ
[0:36:03] masatedi: ルル…
[0:36:06] siete1: そいつは無理
[0:36:11] letaran: ルルヴァルつっよ
[0:36:12] Pinochiiiii: asすごｗｗｗ
[0:36:12] yatu_hasi: ルルのサポート厚い
[0:36:18] lucky_punch1111: 先に倒すのはルルちゃんだったか？
[0:36:48] pirosue_: まぁ今のはどっちから殴ろうが無理ww
[0:37:32] pirosue_: 別に火力高いとかでもないしな
[0:37:43] えいるえいる: 一個だけリフメ積むとか？
[0:37:50] siete1: やっぱフルAPリーサル熊だよな
[0:37:56] lucky_punch1111: 前ちょっと流行ったサイオンドスカイタンクビルドの二番煎じみたいな感覚ある
[0:38:21] pirosue_: OTPが誰もやってないのが答えだ……
[0:38:42] tarakosoba: ムハハｗ
[0:38:46] lucky_punch1111: wwww
[0:39:07] tarakosoba: onhitヴァルスが強いならコグも強いと思うんだけどな
[0:39:22] rainbrain: ランクで練習するでござるよ
[0:39:24] yuzu1nari: たぬきおじゃ
[0:39:43] pirosue_: ワニさんはやった？
[0:39:45] rainbrain: ヒヨってるやついねぇよなぁ！？
[0:40:07] letaran: 今パッチの雑感教えて欲しいでござる
[0:40:08] haguree: あ
[0:40:11] pirosue_: ワニさんだいぶイカついバフじゃなかった？
[0:40:20] yuzu1nari: いつも忍んでるからね
[0:40:26] rainbrain: 今月の友達料金がまだでござる
[0:40:29] lucky_punch1111: おにんにんフルパをつくるのだ！！
[0:40:35] snuffy355: tanukiKawaisoudegozaru
[0:40:37] ぱと_らっしゅ: w
[0:40:44] katsuyaspecial: にんどのおじゃ
[0:40:45] haguree: BibleThump BibleThump BibleThump
[0:40:48] ねろこ: BibleThump BibleThump
[0:40:49] rainbrain: BibleThump BibleThump
[0:40:50] 01takeo: LPで支払うでござ
[0:40:56] sharryphase: 御曹司は高く着くでござ
[0:41:01] こーで: すでに情報戦始まってる
[0:41:12] lucky_punch1111: むしり取ってでも違和感ないのがもう
[0:41:26] chiday: なに使うウディ？
[0:41:43] hecate000: TOPライズ
[0:41:44] lucky_punch1111: 今のTFフレックスすぎてキモい
[0:41:47] chiday: もうキモい
[0:41:49] のいづ: 今パッチでレクサイtop行けそうな感じあるけどそんなことない？
[0:41:50] rainbrain: 全部キモくて笑う
[0:41:50] かずのこマ: WutFace
[0:41:53] yuzu1nari: TFは3レーンフレックスのOPチャンプでござるっちねぇ
[0:41:53] haguree: あまりにもキモいｗｗ
[0:41:54] lucky_punch1111: きっしょ
[0:41:58] えいるえいる: きめえ
[0:42:01] AOI663_jp: きもくないか？
[0:42:08] hecate000: 正統派らいじんしかいねえ
[0:42:20] 01takeo: 熊OTPでござｗ
[0:42:23] えいるえいる: APやろ
[0:42:25] artech131: OTPの方？
[0:42:26] rainbrain: ちゃんと練習してて偉いでござる
[0:42:28] たぬきの人: こんばんわ
[0:42:30] hecate000: どうせならフルAPいくか
[0:42:31] o_penkai: お前が選んだピックだろ
[0:42:48] zawachii: 赤月積んでみませんか
[0:42:59] 01takeo: WutFace WutFace
[0:43:04] こーで: TOPスモルダーどうなった
[0:43:08] rainbrain: ちなみに俺の慧眼によるとボリはフラッシュイグナイト一択
[0:43:11] ぱと_らっしゅ: 全部盛りだ
[0:43:28] fantasoisauce: もうトップレーンめちゃくちゃだよ
[0:43:32] geatarou: w
[0:43:34] chiday: ゴーストイグナイトでやんちゃしろ
[0:43:36] pirosue_: ショウジン、ドスカイ、アイスボーンやってみてよ
[0:43:46] hecate000: 対イラオイでヴェイン勝ってた説
[0:43:54] いじろう: おじゃです
[0:44:34] geatarou: Eを避けろー！！
[0:44:38] rainbrain: ちゃんと理由あってボリはレーン主導権失うことないから適当に押したら敵のジャングルにオールインするでござるよ
[0:45:20] いじろう: これ絶望涙のやつですか？
[0:45:54] いじろう: そのビルドでウディアすると壊れてました
[0:46:19] burningpantz: 至極まっとうなピンだった
[0:46:59] fantasoisauce: おれらお互いマナきつい
[0:47:01] lucky_punch1111: きしょくね？
[0:47:09] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[0:47:28] くまじゃが: 質問なんでござるけど、lolのそれぞれのポジションの解説だったりコーチングの動画上げてる人見て、座学しなおそうと思ってるんでござるが、良かったらおすすめの人教えてもらえないでござるか？topはえびんもでjgはしゃるさん？
[0:47:46] lucky_punch1111: でぶぶは思想強そう
[0:48:08] くろみうむ3776: riotっていつもボリベアOPって言ってるけどなんで？
[0:48:12] siete1: スマッシュログじゃだめなの？
[0:48:13] pirosue_: 実際しゃるさんの解説系の動画は為になるよ
[0:48:22] けっち051: くまさんどうっすか？
[0:48:25] katsuyaspecial: しゃるさんのコーチング動画よかったでござよ
[0:49:02] くまじゃが: スマッシュログ見てるけどもう少し中級者向けの情報が欲しいでござ
[0:49:02] やまやまだ: loltv…
[0:49:04] けっち051: それはチャレ帯でも通用しますか？
[0:49:13] lucky_punch1111: ファッキン無料
[0:49:51] siete1: でもこのゲームって基本のことわかってたらダイアくらいまでいけそうだけど
[0:50:15] rainbrain: こんな時イグナイトがあったらな～
[0:50:56] siete1: 神聖なトップにイグナイトは
[0:50:59] pirosue_: カサンテ相手だと怪しいよね
[0:51:01] nukmor: そんな時は解放の魔導書
[0:51:08] geatarou: あー涙行くから冷静沈着いらないのか
[0:51:21] くまじゃが: しゃるさんとえびんもの動画見てあとはランク回してみて気になったことを聞いてみることにするでござ みなさん教えてくれてありがとうでござ
[0:51:28] rainbrain: 最近のトップは何もしないでいたら勝った奴らが押し寄せて村燃やされる
[0:51:41] rainbrain: もうこっちから火を放つしかないでござる
[0:51:55] kkx22: こうゆう時ってプロキシするよりタワー前でハラスしてた方がいいんですか？
[0:52:01] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[0:52:14] いじろう: これ涙たまらないの悲しい
[0:52:32] ぱと_らっしゅ: タワー君迫真の迎撃
[0:52:35] lucky_punch1111: これはやりますねぇ
[0:52:49] siete1: この1デスが遅効性の毒
[0:53:15] pirosue_: でも彼には圧倒的なスケールが……
[0:53:33] pirosue_: それはそうやな
[0:53:43] けっち051: あーわざとなんですねー
[0:53:50] lucky_punch1111: 彩りのあるレーン戦ができるって事ね
[0:54:21] lucky_punch1111: タワーに引き込むの上手わね
[0:54:55] sharryphase: なんかきた！
[0:54:55] kurou_crunn: ｗｗｗ
[0:54:56] nukmor: あわわわ
[0:55:11] nukmor: いうて2人ヒットの位置じゃなかった？
[0:55:20] kangamil: 孤島が燃やされてます
[0:55:25] hecate000: この時間帯のボリベアちゃんはAPに弱く
[0:55:27] けっち051: 避けたら後ろの人に当たったでござ
[0:55:30] pirosue_: ベイトで草
[0:56:51] amakusa3065: ロングトレード最強の生き物
[0:57:40] amakusa3065: ｗｗｗｗｗ
[0:57:43] sharryphase: 無免許 BloodTrail
[0:57:49] pirosue_: マナがねぇ……
[0:57:54] lucky_punch1111: 運転やめてね BloodTrail
[0:57:54] ぱと_らっしゅ: 運転やめろw
[0:58:07] すみれいろ: セラフですか
[0:58:20] けっち051: 戦い過ぎか？
[0:58:21] chiday: サブ黄色じゃだめか？
[0:58:40] えいるえいる: パッシブで冷静沈着って発動したっけ？パチパチするやつ
[0:58:46] chiday: アイテムヘイストなるほど
[0:59:05] triumphlied: くまさん何故か勝率悪そう
[0:59:17] えいるえいる: つよ
[0:59:20] いじろう: アイテムヘイスト上げるものって賞金首狩りしかないですよね？
[0:59:25] lucky_punch1111: サステインとお金稼ぎのルーンが強すぎるのか
[0:59:46] dio10111: wwwwww
[0:59:48] すみれいろ: 1000
[0:59:50] sharryphase: 1,000円うめえ！
[0:59:58] dio10111: 見た目シュールだなこいつ
[1:00:09] ぱと_らっしゅ: ピックorバンレベルなのかね？熊
[1:00:32] rainbrain: このビルド弱そうでござる
[1:00:57] lucky_punch1111: 爽快感はあんまねえな
[1:00:57] 花鶏: 熊界隈
[1:01:00] yuzu1nari: ネットに強いくま
[1:01:04] chiday: でも俺も弱そうに見えるとは思う
[1:01:05] naru_naru15: 胴上げしてたときのくまさんたまに帰ってこないかな
[1:01:07] apple_energy: アライグマ界隈？
[1:01:13] lucky_punch1111: 熊界隈草
[1:01:13] letaran: 熊界隈草
[1:01:18] えいるえいる: 統計サイトでもトップ勝率だよね
[1:01:26] rainbrain: たぶんドスカイアイスボーンのが強いでござる
[1:01:32] すみれいろ: くまもたぬきですか
[1:01:44] ぱと_らっしゅ: ぺし！
[1:01:52] sharryphase: 硬いし脳筋すぎる！
[1:02:00] chiday: ショットガンじゃ熊は殺せない
[1:02:03] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[1:02:04] naru_naru15: 順調に人里に下りて人食ってる
[1:02:36] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:02:55] yuzu1nari: これでシェンもウェーブクリア早くなるでござるな
[1:04:20] chiday: 前から殴るだけだと集団戦の形楽でいいね
[1:04:22] yuzu1nari: でっかい音ださなきゃ
[1:04:27] 花鶏: アライグマが熊に進化しちゃった
[1:04:40] w_radish: 人間が熊から逃げられる訳
[1:04:58] sharryphase: 餌が歩いてるでゴリ
[1:05:02] けっち051: このゲームいろんな生物いるけど、熊が最速か？
[1:05:11] vooooi: ｗ
[1:05:19] chiday: フルヘルス
[1:06:11] vooooi: 絶望の範囲広すぎる
[1:06:16] sharryphase: こんなのおかしいよ
[1:06:22] 花鶏: 因果応報ってやつ
[1:06:23] けっち051: 絶望で倒せるししゃーないか
[1:06:40] rainbrain: 絶望って物理ダメじゃなかったっけ
[1:07:18] 五代雄介: 絶望きたああああ
[1:07:20] jorrys: ｗｗｗｗｗｗｗ
[1:07:22] けっち051: ｗｗ
[1:07:23] leviel86: ｗ
[1:07:24] vooooi: コレクターで死んでて草
[1:07:24] sharryphase: www
[1:07:24] 花鶏: 討伐
[1:07:27] pirosue_: 絶望から出るのは魔法ダメですね
[1:07:42] yuzu1nari: 絶望に終わりはあったみたいですね
[1:07:56] いじろう: アイボくらい？
[1:08:10] 城です: 赤月？
[1:08:22] さざめき: デッドマンとか
[1:08:30] pirosue_: タンクアイテムだとアイスボーンくらいだね
[1:08:34] tamago67fa: オーンで進化したら漂流する希望になるからそういうことなんだよね
[1:08:35] yuzu1nari: ダンガンロンパみたいなこと言うじゃん
[1:08:37] pirosue_: デッドマンもか
[1:08:59] pirosue_: OTPショウジン積んでる人多いけどやってみる＞
[1:09:00] rainbrain: トップカルマに勝てなさそう
[1:09:00] pirosue_: ？
[1:09:01] けっち051: ジリジリ強いチャンピオンはつまらんか
[1:09:06] lucky_punch1111: 爽快感が大事なんだよなこのゲーム
[1:09:40] ぱと_らっしゅ: 漢立ち熊
[1:09:42] いじろう: このビルドのウディアがボリより相性よかったです
[1:09:56] vooooi: なんかすごいだまげ喰らってた
[1:09:57] sharryphase: 敵ゴリラの格が違う
[1:10:03] yuzu1nari: かって
[1:10:14] lucky_punch1111: ヘルスがへらねえwwww
[1:10:15] pirosue_: このビルドはウディアのがいいのはホントにそうだった
[1:10:23] vooooi: も、燃えてる
[1:10:27] yuyu0082: AP積むとファーム爆速ではあるんだけどね
[1:10:32] letaran: つっよ
[1:10:52] pirosue_: ウディアのが良かったよ
[1:10:54] いじろう: ボリが７点でウディアなら１０点くらいあるくらい強い
[1:11:10] 城です: ウディアｒのスロウだけで冬の訪れのシールド付くか
[1:11:27] hecate000: 百聞は
[1:11:27] yuyu0082: リフトナッシャーの方が好きだ熊
[1:11:32] chiday: アーゴットどう？あんまり変わらないと思うけど
[1:11:36] ぱと_らっしゅ: 雨さんきた
[1:11:37] けっち051: なんかおる！
[1:11:39] jorrysz: わあ
[1:11:43] haguree: 成立した！？
[1:11:53] こーで: みんなフルパだったのにたぬきのときは。。。
[1:11:54] jorrysz: w
[1:11:56] 火事オヤジ: UGも誘ってあげよう
[1:11:57] vooooi: ござｗ
[1:11:57] haibarad: RaccAttack
[1:11:59] ぱと_らっしゅ: うんうん
[1:12:02] sharryphase: ひん
[1:12:04] 0130_ally_yasuo: スケベ同士は惹かれ合う
[1:12:05] jorrysz: かわいそうでござ
[1:12:05] けっち051: うんうん
[1:12:05] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[1:12:06] Phamisya: BibleThump
[1:12:09] kangamil: BibleThump
[1:12:09] vooooi: 人望が…
[1:12:17] sharryphase: ふ、なか
[1:12:35] pirosue_: レネク！！！
[1:12:39] zawachii: wani
[1:12:45] けっち051: レネクトンは確かに気になるところ
[1:12:47] ぱと_らっしゅ: 熊一色でワニあんま見ないね
[1:12:54] いじろう: Qのヘルス回復とRの増加ヘルスの増加
[1:12:54] moi4245: さすていん
[1:12:55] hecate000: ジェイス
[1:13:00] もうちょい: ワニ復権しそう？
[1:13:03] pirosue_: Qの回復量増加、Eのレベル上げた時のCD減少
[1:13:09] けっち051: らいさまはレネクやりたくない言ってたけど
[1:13:24] ぱと_らっしゅ: 仲間がいるよ！！ RaccAttack
[1:13:29] artech131: 第一声がこれ
[1:13:56] pirosue_: レインさんホントにJG元プロか？ってくらい普段やらんもんなｗｗ
[1:15:00] fantasoisauce: しかも結構早めの時間にきたりするしね
[1:15:40] chiday: ﾗｽﾃｨｱﾉﾝｳﾞｨｨ
[1:16:07] zawachii: ｻｰｴﾚｻｰﾃｨｰﾘｰｳﾞｨｰ
[1:16:30] ぱと_らっしゅ: しゃる「midでカルマやるな！lolが下手になる！
[1:16:44] pirosue_: わかる。マナ持ちおかしい
[1:17:00] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:17:11] chiday: MIDカルマってバス乗りの代名詞みたいな扱いだったのに今ダメージしっかり出るしおかしいよ
[1:17:30] pirosue_: タイマンも2v2も強いのやばいよな
[1:18:55] けっち051: あかりん(´；ω；｀)
[1:20:33] けっち051: グラガスが強い？
[1:20:48] 0130_ally_yasuo: らいじんがちょっとやってた絶望ボリベアはもうやった？
[1:21:45] pirosue_: ボンバおじさん今シーズン大体ニッコニコだからな。相当強いんだろうな
[1:22:30] zawachii: 数パッチ前QoL調整の欄に書いてた気がする
[1:22:39] pirosue_: @0130_ally_yasuo 二試合やってた
[1:22:41] apple_energy: ビクターのQtoka
[1:24:10] pirosue_: メレーまじでレーン戦近づけない
[1:24:41] tojipt: もうフルパじゃないとマッチしないのか BibleThump
[1:24:43] けっち051: それはそう
[1:25:13] pirosue_: LOLが流行った方が一緒に遊べないの悲しいな、、
[1:25:17] w_radish: 初心者がチャレに破壊されちゃう…… BibleThump
[1:25:18] ぱと_らっしゅ: おぢしか勝たん RaccAttack
[1:25:43] vooooi: 廃墟に風を送りこもう
[1:25:48] けっち051: ほかのライングループがあるのか！？
[1:26:24] zawachii: 相手熊だ
[1:28:33] ぱと_らっしゅ: 許された
[1:29:00] tojipt: すもガキ
[1:29:02] nukmor: スーモ FortBush
[1:29:03] pirosue_: 異教徒だ
[1:29:59] pirosue_: 6までキツイ
[1:30:28] pirosue_: なんなら6でもキツイ
[1:30:54] vooooi: ここは陸なので
[1:30:59] totoro2500: ワニさんってクマさんに勝てないんだか
[1:31:00] vooooi: れ、レインさん？
[1:31:37] totoro2500: 100日後にあーだこーだするワニ
[1:32:01] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[1:32:42] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:33:12] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[1:33:45] いじろう: QRじゃないとあたんないよね
[1:35:53] pirosue_: 使用感が変わるようなバフでは無かったしね
[1:36:24] らすた: ボリベア強くなった？
[1:36:29] pirosue_: Qの回復量マジで増えたな
[1:36:36] maguroud: ボリベアはがっつり強い
[1:36:47] hecate000: ボリベアブリンクあるの？
[1:37:42] chiday: 黒斧持つレンジってアーゴットぐらい？
[1:37:56] pirosue_: ブリンクはないけどQにダッシュがある。Rは一応ブリンクか？
[1:37:59] らすた: 昔はMFもたまに持ったよね
[1:38:09] nukmor: 隙あらばアゴ
[1:38:13] chiday: アーゴットと黒斧はずっとも
[1:38:19] pirosue_: アーゴットどんだけバフされんねん
[1:39:25] chiday: ハルブレの追加ダメが1/2になっただけだからそこまでって感じがする
[1:39:58] hecate000: テルミヌスアーゴット
[1:41:28] pirosue_: 重傷ないとタイマン終わらなそうｗｗ
[1:41:32] hecate000: やっぱりポッピーのＷでボリベアなんかはじかれてるな
[1:41:41] enng4wa: ぼりべあ硬すぎ
[1:41:48] pirosue_: Qがダッシュだから弾かれるよ
[1:42:49] hecate000: Ｑの終わりにダッシュがついてるの？ラムスＱとかヘカリムEははじかれないでしょ？
[1:44:38] asuto01: ワニはワニ
[1:45:30] pirosue_: ダッシュと加速はちょっと違ってウディアのEとボリベアのQはダッシュなんだよね。へカリムのEも攻撃の対象指定した後の部分は弾かれたハズ
[1:46:18] nukmor: tanukiTanu
[1:46:37] zawachii: 休日に感謝別バージョンあるのか
[1:47:00] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:47:42] hecate000: @pirosue_ なるほどありがとう
[1:48:30] pirosue_: 多すぎｗｗ
[1:50:18] nukmor: 時間稼ぎたぬき
[1:51:26] 山津一海: ｗ
[1:51:28] ぱと_らっしゅ: w
