[0:01:13] Fred_worth: れおな？
[0:31:00] chikin3537: Rの使い道がちょっと微妙だったねw
[0:31:03] とふめる: REだったね
[0:31:10] chikin3537: REだったw
[0:31:20] sakusarank: 焦ってREなってた
[0:31:52] chikin3537: デフォでaltじゃないっけ
[0:31:57] asasa12312: alt押せる人？
[0:32:10] asasa12312: えらいね
[0:32:36] asasa12312: ｗｗｗ
[0:32:37] chikin3537: wwww
[0:32:38] とふめる: １０３１
[0:32:39] tak1on_: 吸い込まれた
[0:32:47] chikin3537: ブッシュにいたねw
[0:32:57] konamin_: おっぼおはよ 花粉消えてほしい
[0:33:36] toyzaurusu: 今年の花粉やばいよなぁ
[0:33:56] asasa12312: でもまあまあカルマ動かせてた
[0:34:03] kakinotane1111: 力の片鱗は出てた
[0:34:03] がりー2027: おぼさんおはようございます
[0:34:08] chikin3537: 鼻詰まり気になるなら詰まってる反対側の脇でペットボトル挟んでおくとマシになるよ
[0:34:22] muto_6: 忙しめのチャンピオンではあるね
[0:34:37] とふめる: 脇ペットボトルはマジ
[0:34:41] konamin_: 逆サイド○○は無限にある
[0:34:50] chikin3537: 実際本当だよ
[0:34:57] 澤井強太郎: がっつり挟まないとだよ
[0:35:02] chikin3537: もうちょい上で脇の血管圧迫する感じで
[0:35:08] financier29: ええてｗ
[0:35:41] 神はベガスで休暇中: がち
[0:35:43] asasa12312: 実は医学的にも本当
[0:35:44] zundamochi16: 本当だよ
[0:35:46] とふめる: 本当だよ
[0:35:46] chikin3537: ほんと
[0:35:47] 澤井強太郎: 副交感神経がどうのこうのでマジだよ
[0:36:00] poko3712: 普通に検索したらギミック出てくるよ
[0:36:09] asasa12312: 交感神経を刺激して鼻の血管の腫れを抑える
[0:36:26] chikin3537: 20秒くらいしたら効果出てくるよ
[0:36:34] chikin3537: もうでるね
[0:36:38] toyzaurusu: 最近スモルダーめっちゃ見る
[0:36:43] konamin_: 最近まじおおい
[0:36:44] asasa12312: 解禁されたらめっちゃ出てくる
[0:36:56] kakinotane1111: 225スタック溜まった時のパワーバケモンだよ
[0:37:05] acpdata: 今日のljlもずっと出てた
[0:37:06] zundamochi16: スモルダー出る試合面白いの多い
[0:37:14] tak1on_: 大会だと鳥食わせてくれるからスタックめっちゃたまりやすい
[0:37:20] asasa12312: ドラめっちゃギブする
[0:37:22] muto_6: 基本死ぬほどドラ取られるゲームになるけど
[0:37:31] デレステの民: おはようございます。
[0:37:44] konamin_: T1がスモルダー使ってる時レイト構成なのに序盤から勝ってるの意味わからんから脳壊れる
[0:37:45] 0130_ally_yasuo: 花粉きつすぎて草
[0:38:12] konamin_: 花粉きつくて華つまって頭痛くなるのがまじでキツイ
[0:38:13] asasa12312: まだ花粉症なってないから毎年おびえてる
[0:38:14] toyzaurusu: あれのせいよなぁ
[0:38:25] zundamochi16: シミーｗｗｗ
[0:38:31] poinpoin369: シミーwww
[0:38:31] asasa12312: ｗｗ
[0:38:33] konamin_: シミーするな
[0:38:51] Nightbot: @おぼです -> A 60s commercial has been started.
[0:39:01] muto_6: 毎年今年はまじでえぐいって言ってる気はするわ
[0:39:03] konamin_: 結局シーズンがのびてきつくなるだけ
[0:39:05] poinpoin369: 気温シミー草
[0:39:05] asasa12312: あれです
[0:39:09] 0130_ally_yasuo: 植物の ◯～
[0:39:11] エビリファイ: 精子です
[0:39:11] kakinotane1111: 人でいうところの精子やね
[0:39:32] chikin3537: このJGルート流行ってるんだ
[0:39:59] とふめる: やり返すか
[0:40:03] nier218: 人集めて植物にぶっかけてまわろう
[0:40:07] konamin_: Wあるしねぇ
[0:40:08] muto_6: ウディア強くてもzeusなら
[0:40:40] tak1on_: カニとってｊｇ上にいないのバレたからね
[0:41:40] konamin_: セナ○○もめっちゃ多い
[0:41:47] konamin_: スタック溜まるとクッソ強いしね
[0:41:53] muto_6: 一生魂集めてればいいからね
[0:42:01] asasa12312: スモやんあまりにもダメ出しやすい
[0:42:25] chikin3537: セナ、どの時間帯でも強いイメージある
[0:42:25] acpdata: 今スモルダーのスケールに対してセナで対抗するのが答えできょうのljlでもそのマッチだった
[0:42:46] asasa12312: W外した
[0:42:54] pandemic427: エイトロのレーン維持能力高えなあ
[0:44:38] chikin3537: Qが4くらいになったら無理な印象ある
[0:44:55] pandemic427: 9レベとドスカイ積んだら一旦パワースパイクだと思う
[0:45:30] konamin_: W当たったらudyr負けるイメージはある
[0:46:06] acpdata: クッチじゃないの？
[0:46:12] chikin3537: エイトロもう負けることなさそう
[0:46:25] chikin3537: ww
[0:46:25] asasa12312: ｗ
[0:46:33] muto_6: 花粉の影響出てるね
[0:46:47] acpdata: そうでしょ？とかそうそうとかの意味
[0:46:50] asasa12312: クッチは相槌だって
[0:46:55] acpdata: 相槌
[0:47:02] pirosue_: 昨日の夜か今日特にヤバくない？
[0:47:03] かっぱとろーる: 粘膜焼くのはどうですか
[0:47:03] chikin3537: へー
[0:47:04] corgi_green: 花粉って家にいても辛いものなの？
[0:47:08] pandemic427: 助けられるのはアレルギー科の先生だけや
[0:47:10] konamin_: 花粉つらいとき本当に頭ぼーっとするからなんもいえねえよ
[0:47:49] 腫れカス大好き: そもそもカルマなんかとれるかな
[0:47:56] pandemic427: カルマ出せたらド安定
[0:47:56] chikin3537: FPできないならバンすべ
[0:47:57] acpdata: サイラスでカルマにクッソ不快にされる未来
[0:48:18] pandemic427: 先出しはアーリ？
[0:48:18] asasa12312: サポでも取られるからよく1stで出てくる
[0:48:29] 腫れカス大好き: ならちょっともったいないね
[0:48:41] konamin_: カルマおもろーだからなぁ
[0:48:45] ranran545: スモルダーは今banってされないの？
[0:48:46] asasa12312: カルマのそれぞれ
[0:48:48] chikin3537: サイラスが選ぶんじゃないっけ
[0:48:52] 腫れカス大好き: マントラシリーズどれか選べるよ
[0:49:05] pirosue_: マントラQWE打てるけどバグってるよ
[0:49:07] chikin3537: RWサイラス恐ろしく強そう
[0:49:14] suga8526: ちなみにマントラqバグってる
[0:49:14] 腫れカス大好き: そそ
[0:49:19] konamin_: 一個だけ選べた気がするけど、とらなすぎて記憶のかなたや
[0:49:38] pandemic427: 相手が先出しアーリか
[0:49:42] asasa12312: 泣きながらゾーイのウルト取るしかないときもあるんだぞ
[0:49:51] acpdata: サイラスはアーリ側がきつい
[0:49:52] 腫れカス大好き: まぁでもカルマのとるとカルマに対して次取れるcdみじかめ
[0:49:53] konamin_: やりたいならいこう
[0:49:56] pirosue_: 序盤クソしんどいけど
[0:50:08] konamin_: 7からは余裕
[0:50:14] konamin_: 4もかてる
[0:50:18] pandemic427: サイラスいいんでない？ウルトも悪くない
[0:50:23] tak1on_: ブリンクこっちのほうが多いからいけるよ
[0:50:23] pirosue_: アーリのR持ったサイラス終わってるよ
[0:50:27] 腫れカス大好き: wwのウルトいいね
[0:50:37] acpdata: アーリは唯のウルトでの逃げをアーリのウルトで逃げれなくてサイドレーンでも主導権とれる
[0:50:40] konamin_: とったことねえｗ
[0:50:41] chikin3537: 乙女死ぬまで一生じゃないっけ
[0:50:42] tak1on_: 寝とれる
[0:50:43] 腫れカス大好き: おとめでるよ
[0:51:01] asasa12312: ウルトCDはいらないんじゃない？
[0:51:06] 腫れカス大好き: いや乙女出てる間うてないとおもう
[0:51:08] chikin3537: 乙女って死ぬまで無理なんじゃないっけ
[0:51:08] konamin_: 乙女の移動があるから乙女消えないと無理なんじゃない？
[0:51:09] muto_6: 乙女って再発動スキルだった気がするけど
[0:51:13] pirosue_: 嫁死ぬまでCD入らん
[0:51:39] acpdata: 単純にアーリのウルト大事なときに取れればいい
[0:51:42] pandemic427: Q上げで耐えおk
[0:51:46] 腫れカス大好き: しかもヨリックのqって乙女出てる間強化されるとかあんだけどそういうのサイラスにはないからびみょい
[0:52:08] acpdata: 状況見てeかq
[0:52:21] asasa12312: どうせ相手初手Wだろうし
[0:52:22] acpdata: 成功したら３レベまででかてる
[0:52:58] 腫れカス大好き: おっしーー
[0:53:05] konamin_: ナイストライ
[0:53:05] chikin3537: 相手はさステインあるし結構きつそう
[0:53:06] 腫れカス大好き: いまのめっちゃねらいうまかった
[0:53:27] そこら辺のヒグマ: おはざす〜
[0:53:33] 腫れカス大好き: ほんの少しエイム合ってればまじでlv1上手く行ったと思うナイトラ
[0:53:35] pandemic427: アーリのブリンク持ったサイラスとかいうバックライン破壊の化身への耐え
[0:53:36] konamin_: やさしい
[0:54:31] pandemic427: ファームいいよお
[0:54:44] pirosue_: ちな乙女殴ってる対象への追加ダメはあるからヨリックRもそんなに悪くないよ
[0:54:58] ranran545: ｗ
[0:55:21] pirosue_: いるからだろwww
[0:55:27] 腫れカス大好き: qが尻からでた
[0:55:30] chikin3537: ダブルバスきつすぎだ
[0:55:39] asasa12312: 赤バフきつい
[0:55:45] konamin_: 赤バフOP
[0:55:51] muto_6: どっちみちなんか来てたなｗ
[0:55:52] chikin3537: ww
[0:55:55] 腫れカス大好き: チャームの位置めっちゃうまかったな
[0:56:02] pandemic427: 赤バフスロウでチャーム当たったか？
[0:56:07] muto_6: うっまｗ
[0:56:09] asasa12312: うまいね
[0:56:10] 黒霧くろくま: ナイス
[0:56:11] mimitabu__: うっひょ～
[0:56:14] 腫れカス大好き: ナイスキール
[0:56:14] chikin3537: うおおおお
[0:56:15] pirosue_: ez
[0:56:15] konamin_: うまーいナイス
[0:56:20] 腫れカス大好き: えー赤バフおれのものっと
[0:56:29] asasa12312: 命のリレー
[0:56:33] 腫れカス大好き: えー赤バフ返却っと
[0:57:08] muto_6: 彼らはいいコミュニケーション取ってる
[0:57:13] konamin_: おっぼは頑張ったナイストライ
[0:57:17] 腫れカス大好き: 実際味方煽って得することなんか一つもない
[0:57:35] 腫れカス大好き: おしい
[0:57:43] 腫れカス大好き: eの狙い方がマジでサイラス使いだ
[0:57:57] 黒霧くろくま: 寄れないタイミングに文句言うjgはマップ見れてないから地雷なんだよね…
[0:57:58] pandemic427: チャーム避けナイス！
[0:58:07] 腫れカス大好き: 詰め替えポーション買うのもグッドすぎる
[0:58:30] asasa12312: アーリのミア管理だけやっとけば大丈夫そう
[0:58:31] tikuwahonpo: ムンドは後半までヨリック対面きつそうだな
[0:58:35] muto_6: 花粉のせい
[0:58:45] 腫れカス大好き: ちなキャノン3回ミスってます
[0:58:50] asasa12312: じゃあいいか
[0:59:08] えりく531: !rank
[0:59:08] Nightbot: シルバーⅢ（1/29）
[0:59:20] 黒霧くろくま: きっつ
[0:59:22] ビビチキン: って言われちゃうからね
[0:59:23] ranran545: ？pinきたああああああ
[0:59:27] asasa12312: UGのラップ流れそう
[0:59:32] tikuwahonpo: ピン合戦やめてね
[0:59:41] konamin_: たのしくやろ～
[0:59:53] chikin3537: 負けてるのに川を歩くのはいけないと言われており
[1:00:06] 腫れカス大好き: わりとおわってるw
[1:00:06] ashmocho: ブラザー早く来てくれー
[1:00:15] asasa12312: それが原因でjgがメインロールになりました
[1:00:19] renminl: 下手できち〜w
[1:00:26] konamin_: ｗｗｗｗｗｗ
[1:00:32] muto_6: いいコミュニケーションしてるね
[1:00:36] 腫れカス大好き: やっぱまざーさんにjgやらせるべ
[1:00:55] 腫れカス大好き: 実際そう
[1:00:58] pandemic427: 普通にワーウィックがうめえ
[1:00:58] tikuwahonpo: 最後にjggapってチャットするの忘れないようにな
[1:01:12] ibis1224: 撃っていいのは撃たれる覚悟があるやつだけだからね
[1:01:13] mimitabu__: さすがに、ね
[1:01:36] renminl: チャットとかする人配信者にお……るか
[1:01:57] tikuwahonpo: しゃ、るる
[1:02:10] muto_6: 今のウルトにmia炊かなかったの偉い
[1:02:46] konamin_: とんでもねえｗ
[1:02:53] chikin3537: マジでギャンブル好きだね
[1:02:56] psyduck_cu: www
[1:02:59] renminl: 馬鹿すぎて草
[1:03:02] konamin_: そりゃそうなるｗｗｗ
[1:03:06] muto_6: リアルブライアー
[1:03:09] pandemic427: トップタコ負けでグラブはヤバすぎる
[1:03:09] renminl: 本気でバカやw
[1:03:14] renminl: もはやおもろいw
[1:03:17] hal_1ch: TOPは死んでてMIDの主導権はないからカバーにいけませんよ〜！！！
[1:03:38] konamin_: Qあげのバースト気持ちよすぎる～
[1:03:42] OldTypeOji: 聞く必要ないねぇ
[1:03:49] 腫れカス大好き: うまい
[1:03:51] pandemic427: 燃えたからワース
[1:03:51] asasa12312: ワース
[1:03:53] 黒霧くろくま: オブジェクト触る時にレーン状況見れないのきちー
[1:04:13] おリお: ミニオンやけるしわーす
[1:04:21] 腫れカス大好き: マジでちゃんとサイラス使いっぽい
[1:04:36] ranran545: チクチクするねい！
[1:04:36] muto_6: 二回言うのやめてね
[1:04:39] tikuwahonpo: てかヨリックはｊｇが見てやらんときついよな
[1:04:42] asasa12312: ってなっちゃうからね
[1:04:47] 腫れカス大好き: 2回どころか20回くらい言ってる
[1:04:51] hal_1ch: ってなっちゃうからねJGが下手だから
[1:05:00] konamin_: ってなるから楽しくやろうね～
[1:05:02] pandemic427: ピン無かったらまあまあ頑張ろうかってなるけどねる
[1:05:13] 腫れカス大好き: そうは言ってないけどそうなっちゃうかもしれないからね？
[1:05:21] ビビチキン: 明日は我が身にならないように注意喚起してくれてんのよね
[1:05:26] ミリ男: このJGがレベル545とか信じられないw
[1:05:39] tikuwahonpo: もうヨリックとまらん
[1:05:44] hal_1ch: これで545は救いようがない
[1:05:52] 腫れカス大好き: サモナーレベル煽りは敵作りすぎるからng
[1:05:55] konamin_: だれがWWとyorickおとすんだ・・・？
[1:06:05] おリお: ヨリックとまらねえ
[1:06:19] 腫れカス大好き: アーリはガチでいいキャラすぎる
[1:06:35] posya_nm: アーリ今強くて楽しくていいキャラ
[1:06:45] konamin_: へりすぎｗｗｗｗ
[1:06:45] muto_6: なんか狼いるｗ
[1:06:51] pandemic427: 15ffか
[1:06:52] 黒霧くろくま: 育ち過ぎてる
[1:06:56] asasa12312: 相手がうまかった
[1:07:01] 腫れカス大好き: WW神になってるな
[1:07:02] ashmocho: 一旦ネクか
[1:07:13] konamin_: 味方もナイストライ 敵が強かった
[1:07:15] tikuwahonpo: jggapGG
[1:07:16] kyoh59: ｇｍｇｍ
[1:07:25] おリお: 相手がうまかったよ
[1:07:43] 腫れカス大好き: 実際シヴィルムンドあたりはレイト相当強い
[1:07:46] konamin_: オブジェクトボキボキされて気が付いたらゲーム終わりそうｗ
[1:07:46] 黒霧くろくま: ヨリック遊んでやがる
[1:07:48] asasa12312: トップの人もばけものになってるのでは
[1:08:15] muto_6: 頭がブライアーになっちまってる
[1:08:16] posya_nm: ntの精神
[1:08:21] pandemic427: botはめっちゃ頑張ってた
[1:08:28] hal_1ch: ヨリックがもう無理すぎる
[1:08:35] 腫れカス大好き: まーーー正直この試合はきついネクネク
[1:08:40] yhoyhowwy: 相手のヨリック楽しそーw
[1:08:53] acpdata: てか前のレートからプラチナ６人も混じってる内部に挙げられてるのか
[1:08:53] 腫れカス大好き: リミットテストね
[1:08:54] konamin_: ここまで来たらもう関係ないｗ
[1:08:56] Nightbot: @おぼです -> A 60s commercial has been started.
[1:09:03] tikuwahonpo: topこのマッチアップＪＧが見ないと絶対勝てない
[1:09:05] おリお: 手温めていこう
[1:09:10] hal_1ch: ってなっちゃうからね
[1:09:19] 腫れカス大好き: ちなエメラルドになってもダイアになってもこんなのしょっちゅうだよ
[1:09:20] muto_6: ちなみにＪＧプラチナです、ってなっちゃうから
[1:09:21] financier29: wwww
[1:09:29] asasa12312: jgってだいたいちゃんとしてる人多いイメージだけどな
[1:09:37] konamin_: ダイアでもこんなんあるぞ結構
[1:09:43] ashmocho: 新規垢で飛ばされたとかでもないしな
[1:09:46] acpdata: 今５連敗でおかしくなって連戦してるよ味方のｊｇ
[1:10:10] 腫れカス大好き: あのヴォイドのちっちぇーやつで事故って試合終わることマジで多いよね
[1:10:41] konamin_: さっきから頑なに二人おさんｗ
[1:10:42] 腫れカス大好き: 4票目が入らない現象ね
[1:11:11] muto_6: 序盤のキル取り返すとこまで最高だった
[1:11:12] konamin_: 一発で半分近くｗ
[1:11:17] tikuwahonpo: 15レベルなのえぐい
[1:11:35] 腫れカス大好き: ムンドはとっくに心折れてそうだから大体絞れるな
[1:11:44] おリお: バフ交換会楽しかったのでセーフ
[1:11:56] hal_1ch: ヨリックってもしかしてグラブの効果2人分出る？
[1:12:06] 腫れカス大好き: ボトム2人が結構レーン頑張ったから勝てる気でいるんかね
[1:12:37] ユッケリオン: 結構限界って感じ
[1:12:46] 腫れカス大好き: ミニオンクリアマシーンです
[1:13:07] konamin_: みててつらいsoloQだ
[1:13:10] chikin3537: ww
[1:13:17] hal_1ch: アズってしまう
[1:13:40] konamin_: 早朝のsoloQは本当の闇だと思ってるよ
[1:13:48] pandemic427: 寧ろ最近は減ったよ
[1:13:49] 腫れカス大好き: 2〜3試合に一回って多すぎだけど実際割とそうなんだよな
[1:13:51] konamin_: おしい
[1:13:53] muto_6: 寝てない、寝起き、花粉でもうおかしくなってる
[1:13:56] MZM_Omochi: 平日のこの時間にLOLやってる人。。。
[1:14:03] ashmocho: gg
[1:14:19] posya_nm: 夜勤終わりの人もいるかもしれない
[1:14:19] おリお: 誰だっけ40%は絶対負けて40%は絶対勝てて残りの20%が腕前次第いった人
[1:14:20] hal_1ch: ちょうさによると3時以降が一番やばいらしい
[1:14:21] konamin_: そんな人はLoLなんてやってないよ
[1:14:23] renminl: 卒研の合間にやっとる人もおる
[1:14:23] ユッケリオン: 夜勤明けとかな
[1:14:24] dkfanboy3: 春、やすみ
[1:14:26] 黒霧くろくま: 寝起き即LoLは頭回らなそう
[1:14:28] muto_6: 仕事の前にLOLやろうとは思わんｗ
[1:14:33] ashmocho: 一日具合悪そう
[1:14:34] acpdata: 味方のjgは５連敗でこれで６連敗でおかしくなってるんですよね
[1:14:52] hal_1ch: イライラしながら仕事行きたくないw
[1:14:53] chikin3537: 連敗する時いつもいるのは自分定期
[1:14:55] 腫れカス大好き: ってなっちゃうからね？
[1:14:57] yhoyhowwy: 学校の前にlolは結構やりたくなる
[1:14:58] dkfanboy3: 味方のジャングル20時間LOLしてるよ
[1:15:03] hamamotoooon: broは？
[1:15:04] konamin_: 仕事の前にLoLやって今のおぼめんみたいな試合やってクッソ気分悪くなって仕事いきたくないもん
[1:15:09] muto_6: 便利な言葉やなｗ
[1:15:15] おリお: 朝こんな試合で職場いくことなったらきついわ
[1:15:21] pandemic427: 完全にティルトしてたなあ
[1:15:23] acpdata: 便利な言い訳やめろ
[1:15:26] 腫れカス大好き: そんなことおぼくんはいわないけどね？そうなっちゃうかもしれないからね？
[1:15:28] renminl: てなっちゃうからね〜w
[1:15:56] 腫れカス大好き: この天丼一生じわる
[1:15:58] muto_6: 剣抜き返しただけだよね
[1:16:10] OldTypeOji: 「一通りの悪口」って〇〇が言ってました、っていう擦り付けも最強
[1:16:11] ashmocho: もとふみ寝ないで無限にやってるから寝たほうがいい
[1:16:15] konamin_: Ahriが両バフ持ったらもうsoloQだったら結構諦めてるのは否めないけどね？ 楽しくやらないとね
[1:16:37] 腫れカス大好き: ugかわいい
[1:17:11] konamin_: タリヤおもろいよ
[1:17:12] 黒霧くろくま: タリヤおもろい
[1:17:21] pandemic427: タリヤはムズいというよりセンスがいる
[1:17:22] 腫れカス大好き: ダメージがしょっぱいんよな
[1:17:26] renminl: かっこいいけど使えん
[1:17:28] acpdata: フェイカーがいなくなったら崩壊したけど今回はならないのどんだけ重要やねん
[1:17:35] 腫れカス大好き: ユーティリティに振ってるからマジで考えて使わないと
[1:17:46] hal_1ch: ソロキルしたいならフェイじゃない？
[1:17:47] tikuwahonpo: もとふみ配信してて草
[1:17:52] pandemic427: ウルトの機動力とゾーニング性能
[1:17:54] OldTypeOji: タリヤ、スタンミが最近セロスにコーチ受けてなかったっけか
[1:17:54] 腫れカス大好き: ウルトとパッシブと石畳がマジで強い
[1:17:55] おリお: タリヤは割となんでもできるけど起用貧乏ならないセンスが必要
[1:17:56] acpdata: 射程距離長いのとロームとブリンクアンチ
[1:18:06] konamin_: ultがむずいとにかく あとWが独特だったりするかな
