[0:00:18] yayakoxx: おはようござます
[0:03:28] aiueo216: ⠀⠀⠀⠀⠀⢀⡤⢤⡀⠀⠀⠀⡀⠀⠀⢀⠤⢤⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⢘⡄⠀⠓⠈⠉⠉⠉⠉⠉⠛⠀⢠⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⢀⡔⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠲⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⢀⡞⠀⠀⠀⠀⠀⢀⡀⠀⠀⢀⡀⠀⠀⠀⠀⠀⠹⡄⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⢸⠀⠀⠀⠀⠀⢺⡭⠇⠀⠀⠀⣯⡷⠀⠀⠀⠀⠀⢫⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⢸⡀⠀⠀⠙⡛⡐⠄⠐⠤⡢⠄⠀⠠⠛⠵⠆⠀⠀⡼⠀⢰⣤⣖⣄⡦⢻⠀ ⠀⠀⠀⠣⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠁⠀⠀⢠⢃⣜⡭⡴⢖⠦⡔⠋⠀ ⠀⠀⠀⠀⡎⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⣀⣀⡤⢦⣗⣋⢼⡀⣀⢀⡀⡀⠀⠀ ⢀⠤⠴⣐⣣⣙⠖⠷⠷⠿⠏⠋⠛⠛⠛⠚⠉⠉⢑⡰⠃⠈⠓⠬⣍⣩⢩⢗⣄⠀ ⠀⠉⠉⠀⠀⢢⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⠀⠀⠀⠀⠀⠁⠁⠀⠀⠉⠀ ⠀⠀⠀⠀⠀⢸⠀⡤⣄⣄⣀⣀⣀⣀⣀⣀⣠⢄⢸⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠘⠊⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
[0:03:29] かじ山: bakku
[0:03:30] pasutel097: きょうのろる
[0:03:32] はいじんちゃん: 買い物のメモ書くやつもいます
[0:03:32] wxvlx_666: kenkiDoumo0
[0:03:32] 仲根にど: こんけん
[0:03:34] なのつん: 今日はさすがにLOL
[0:03:35] morimori03020320: とりあえずロルカ
[0:03:36] ツイッチ表示名: 大人気ゲーム、ロル
[0:03:37] petbottle429: こんlol
[0:03:37] komyu_www: lollol
[0:03:40] wxvlx_666: lolや
[0:03:40] 昆布畑: 企画から面白そうなのやらないか
[0:03:41] ぺんニキ: けんきが帰ってくると荒らすの止めるの何でなんｗｗｗ
[0:03:41] 8818papaiya: どうせlol
[0:03:43] haru_blue34: 無所属けんき
[0:03:44] hibari_1104: 一旦か
[0:03:44] inulove_: パルやロゼ
[0:03:44] みんぐど: lol
[0:03:45] はいじんちゃん: ロルはもういいよ
[0:03:47] オレンジ野郎: LOLハマってるん？
[0:03:47] kanipan07: サモナーズリフトに帰ろう
[0:03:47] かじ山: バックパックバトルズみてぇよ
[0:03:49] reiya88: lolかー
[0:03:52] うえすたんまん: はいさいなら
[0:03:52] 名無し333: Xで見たじゃすぱーの呪いのビデオクリップ怖かった
[0:03:52] takahashi_png: 一旦lol
[0:03:53] takuro_o: うんこしながら見てます
[0:03:55] なのつん: ざかせんもあるしね
[0:03:55] riri_desu__: ろるですか
[0:03:55] ぺぷすぃ: 小手調べにね
[0:03:56] basho2022: 荒らしけんき説
[0:04:00] pasutel097: 座学しないか？
[0:04:04] いいこと: lolかぁ
[0:04:08] wxvlx_666: 義務lol
[0:04:08] morimori03020320: その先は闇
[0:04:08] ツイッチ表示名: カセンがlol界の偉人すぎる
[0:04:12] 昆布畑: ファイナルズの二の舞い
[0:04:12] ti1128: パルブームおわった？
[0:04:12] ayayan11: lol crカップに向けて
[0:04:12] yuzuyuzu__: ずんだもんの読み上げの切り抜きから来ました。初見です🔰
[0:04:15] tanukitu_1: LOLめっちゃはまってますやん
[0:04:15] ほいぷる: ぱいなっぷるるとスタンミになりたいのコード進行一緒なの知ってた？
[0:04:16] てべじ: 勝ちたいだけだ
[0:04:18] kanipan07: ランクは目的ではなく結果という派閥
[0:04:22] りんねこー: LoL見るのは楽しいから好きだよ
[0:04:28] pasutel097: 50人近くいるのすごない？
[0:04:32] komyu_www: お！
[0:04:36] kurusyuta: エックスの件詳しく
[0:04:37] ルフ0: お
[0:04:39] takahashi_png: お
[0:04:39] takuro_o: こんけんき〜      ずん太郎    250円
[0:04:39] 名無し333: と、める
[0:04:41] らあすと: とめるジャブ
[0:04:42] だいもん_: 毎回とめるに連絡してんな
[0:04:42] basho2022: とめっさんは神回
[0:04:43] なのつん: 一旦止める
[0:04:43] いいこと: けんきもlolであおらないか？
[0:04:45] タラコの素: 毎回とめるに連絡するけど毎回返事こん
[0:04:46] morimori03020320: とりあえずジャブしとくかとめるに
[0:04:47] 8818papaiya: 来ることのないとめる
[0:04:48] ぴにおん: とめるっていったか？
[0:04:48] オレンジ野郎: なんかサブスク切れてるからコンビニいってくる
[0:04:49] ザリガーノ: 反応ないとめる定期
[0:04:53] 昆布畑: 都合のいい女とめる
[0:04:58] ルフ0: めあもよぼおぜ
[0:04:58] ツイッチ表示名: とめるもAVスプラがなければ大会とか出てのかな
[0:04:58] hibari_1104: とめるねてる
[0:04:59] wxvlx_666: 草
[0:05:00] kanipan07: 告白
[0:05:04] ruizz1124: 相思相愛？
[0:05:11] ぴにおん: けんきも無敵の人になってしまった
[0:05:12] はいじんちゃん: メアでもいいぞ
[0:05:13] ayayan11: とめるとめあで汚物lolしよう
[0:05:16] ruizz1124: 結婚？
[0:05:17] herumann: 俺はけんきのことすきだよ
[0:05:19] 名無し333: これは可哀想の極みではある
[0:05:21] murasima: なにがあったかよくしらない
[0:05:27] pasutel097: なんかあったの？
[0:05:31] morimori03020320: あれかわいそうすぎた
[0:05:41] オレンジ野郎: 可哀想すぎた
[0:05:41] りんねこー: 何で叩かれたのかマジで分からんかった
[0:05:55] 名無し333: ヴァロ好きで頑張ったんだ〜って動画上げたのにまさかあんなことに…
[0:05:58] zababa0324: ムラッシュのmillionがけんきに引用リツイートしてたやつ？
[0:06:09] ruizz1124: 不憫以外の何物でもないｗ
[0:06:11] ayayan11: 現実で求められないからツイッターで求められたと思ってしまったんやな
[0:06:14] wxvlx_666: これかww
[0:06:20] morimori03020320: のんびりやってたらシュバってきたんだよ外野が
[0:06:21] オレンジ野郎: 最近はじめた俺より上手いのになぁ
[0:06:22] 昆布畑: これがどうしたんだい？
[0:06:25] ポパピペポ: こんけんき
[0:06:31] pasutel097: つまりどうゆうことだ？
[0:06:33] wxvlx_666: 上手いね
[0:06:37] pasutel097: うまくね？
[0:06:39] らあすと: うめえんだ
[0:06:39] murasima: つえぇ
[0:06:41] なのつん: デデンデデン
[0:06:47] オレンジ野郎: なるはずなのに
[0:06:49] 勝源: エイム綺麗だよね
[0:06:51] ボン太郎: www
[0:06:54] daapto: 攻撃したい者がウロウロしてるのがネットだからなぁ……
[0:06:55] pasutel097: ？？？？？？
[0:06:57] suri_pi: 草
[0:06:59] 昆布畑: wwww
[0:07:03] morimori03020320: 引用リツイートくん...
[0:07:08] kuma_house: 精神アタッカー
[0:07:08] murasima: wwww
[0:07:09] おさとも: wwwww
[0:07:12] hibari_1104: めんどくさいなwww
[0:07:12] なのつん: NotLikeThis NotLikeThis NotLikeThis
[0:07:16] takahashi_png: ええ…
[0:07:17] おさとも: valoこっわ
[0:07:17] らあすと: 多分どんだけ考えても無理だww
[0:07:19] popopoharu: やばすぎ
[0:07:19] hibari_1104: まーたそういう
[0:07:20] wxvlx_666: これはひどい
[0:07:22] 名無し333: リプ欄は天国なのに引リツが地獄すぎた
[0:07:24] pasutel097: そういうことか
[0:07:24] takumabear_: この人フレンドだけど普通にうまいしここまで叩かれる理由がわからん
[0:07:25] benzene__c6h6: こっわ
[0:07:25] suri_pi: インターネットやめよ
[0:07:25] 昆布畑: シットリプやん
[0:07:26] 仲根にど: いいことしてるつもりだからな下手したら
[0:07:27] 8818papaiya: lolよりひでーな
[0:07:27] だいもん_: こわ
[0:07:27] morimori03020320: 名誉毀損釘パンチ
[0:07:28] 悪熊: kenkiKaribu
[0:07:28] りんねこー: ヴァロは民度終わってるし
[0:07:30] ほりくさん: かわいそう
[0:07:30] konpeitoyade: 子供はいつまでたっても学べないからなあ
[0:07:36] オレンジ野郎: 言ってること撮り鉄と一緒で草
[0:07:36] kanipan07: こたも怒ってます
[0:07:38] zakiyoka: なんでまたそんな
[0:07:39] anti0124: 試しにLoLでペンタする動画上げてみてけんき
[0:07:41] kuma_house: ケチつけてるやつはみんなアセとかなのか
[0:07:42] 蕎麦つゆ: どういう嫉妬？
[0:07:44] kibidango551: うまいなーだけたったのに何でだって思った
[0:07:45] daichan1200: 念能力みたいにさ、最初に悪意の防御の仕方というかそんなの学ばないと悲劇がおきるよ
[0:07:46] 昆布畑: ただの嫉妬民だろうな
[0:07:46] はいじんちゃん: 自称精神科医こわい
[0:07:47] murasima: まじで叩きたいだけやん
[0:07:48] ぞうくまいくお: こんけんき
[0:07:49] けんき: https://twitter.com/KureiVL/status/1752677812639760713
[0:07:49] pastel946: 嫉妬であらさがしか
[0:07:50] bebetarooo: どうせゴールドが嫉妬で発狂してるだけやろw
[0:07:52] ruizz1124: みんな自分がプロゲーマーになったつもりになってるから世界一面白い
[0:07:52] ほりくさん: なんで見つかっちゃったんだ
[0:07:54] takuro_o: 初見です。イライラ大学生からきました。
[0:07:54] ポパピペポ: 日本人ネット民度低い
[0:07:54] pasutel097: こわぁ
[0:07:55] n0doguro: せめて鍵垢でいえ
[0:07:55] シバイ: おじゃです。独立おめでとう
[0:07:59] カンタンク: こんちゃ
[0:08:03] チャンマス: リプじゃなく、引用やDMで陰湿コメする人居るよねw
[0:08:05] sniper11834: 見れるぞ
[0:08:10] ayayan11: コーチング厨
[0:08:11] hibari_1104: オープンで言うことじゃない
[0:08:15] petbottle429: そういうことなんだ
[0:08:18] riri_desu__: www
[0:08:24] konpeitoyade: 就活やったことなさそう
[0:08:24] ruizz1124: これもまた濃厚なチーズ牛丼の香りがしますなぁ
[0:08:24] だいもん_: 指示厨割れちゃったねー
[0:08:25] ツイッチ表示名: これで駄目ならかるびだったらどんだけ言われるんや
[0:08:25] morimori03020320: バケモンの巣窟なんだよね
[0:08:26] pasutel097: 確かにそうだ
[0:08:26] hazuuuuu1: おはようございます
[0:08:27] オレンジ野郎: 友達でもなんでもないのにな
[0:08:28] 昆布畑: お前が精神科行けって話なんだよ
[0:08:31] daichan1200: でも、慣れてない人にとってはぐさってくるから
[0:08:33] ダンデり: となり歩いてる人がいきなり殴りかかってきてるみたいなもんだよねこれ・・
[0:08:34] オレンジ野郎: 友達いなさそう
[0:08:34] kuma_house: 異常なこと気づけない世の中
[0:08:34] hibari_1104: 余計なお世話だよ
[0:08:35] swooshhip: 無職さん、こんにちは
[0:08:38] ほりくさん: マウント厨か
[0:08:38] pasutel097: 道歩いてたら突然話しかけられたやつ
[0:08:41] ザリガーノ: 急に来て説教するおじさん
[0:08:43] zababa0324: millionはこの指示厨達は全員ブロックしろって引用リツイートしてます
[0:08:43] nakaaami: リアルだと全くコミュニケーションとれなさそう
[0:08:43] n0doguro: 素人がその筋トレ効果ないですよって言ってる画像みたい
[0:08:47] ボン太郎: いいたいんだろなｗやばいやつ
[0:08:49] fuzino_udon: なるほど。そういう話だったのか
[0:08:53] suri_pi: 友達どこ…
[0:08:54] 蕎麦つゆ: こうした方が孫と仲良くできますよ、って言えよな
[0:08:55] だいもん_: 小学校の頃いたな
[0:08:57] 昆布畑: 唇の端につば貯めてそう
[0:08:58] hibari_1104: ネットだから気が大きくなってるだけだよ
[0:09:00] ぺぷすぃ: コミュニケーション能力の欠如か
[0:09:00] popopoharu: それやばいぞって言ってくれる人がいないんだ
[0:09:01] hiyokko3: ヴァロやってる人友達いなさそうだよね
[0:09:04] 悪熊: できないんだろなぁ
[0:09:06] 赤カブト: おはけんき
[0:09:06] murasima: 俺らってまともなんだな、安心した
[0:09:08] zababa0324: あ
[0:09:10] basho2022: wwwwww
[0:09:10] bebetarooo: あ
[0:09:10] なのつん: おまいう
[0:09:11] オレンジ野郎: あ
[0:09:11] pasutel097: その人も…
[0:09:12] hibari_1104: あ
[0:09:12] だいもん_: 自分もってことか……
[0:09:13] 昆布畑: あ
[0:09:13] ぺぷすぃ: まあ
[0:09:16] カンタンク: そいつら自分の周りから人が居なくなってるの気づいてないよ
[0:09:17] はいじんちゃん: み、りおん
[0:09:18] zababa0324: https://twitter.com/million4771/status/1753619446374273055?t=rC7iBl1bb4xMwibi-jgesw&s=19
[0:09:23] 仲根にど: 火が好きな人が集まるから
[0:09:24] kibidango551: けんきも尖ってるし
[0:09:24] basho2022: ミリオンは死体撃ちしてる人だっけ
[0:09:25] 勝源: まあmillionは...ね
[0:09:25] riri_desu__: karubisLllllllllllll
[0:09:28] 月藤藍: 逆かもよ、表の仮面はめっちゃコミュ強の陽キャなのかもしれない
[0:09:29] konishiyukinaga1558: こんけんき
[0:09:34] オレンジ野郎: ついでに名前似てるからRionブロックしよう
[0:09:34] げべたまん: こんけんき
[0:09:35] morimori03020320: 暖を取りにね
[0:09:37] andeyuki: こんけんき
[0:09:37] suri_pi: 火を絶やすなー！
[0:09:37] cena7x: おはもございます
[0:09:40] なおちゃこ: unkochanYaa unkochanYaa unkochanYaa unkochanYaa unkochanYaa
[0:09:44] kibidango551: みんなで焚き火で暖かいな～ってしてるだけ
[0:09:45] zababa0324: げ、芸風！？
[0:09:47] cafy_23: み、りおん
[0:09:51] osyoyuyasan: ^^/
[0:09:51] だいもん_: り、おん
[0:09:52] takahashi_png: NotLikeThis NotLikeThis NotLikeThis
[0:09:52] hibari_1104: り、おん
[0:09:52] pasutel097: ちゃんと触れられない人だよリオンは
[0:09:52] 名無し333: アイコンもあばれる君で好印象なのに…
[0:09:53] popopoharu: わかりやすい
[0:09:53] ayayan11: どっちにしろ...
[0:09:53] kuma_house: 草
[0:09:54] ツイッチ表示名: みり、おん
[0:09:54] すちゃん4588: り、おん
[0:09:56] うぎゃあ: www
[0:09:56] suri_pi: ス、マーフ
[0:09:56] bebetarooo: 普通にす、まーふ
[0:09:57] mi_poo: w
[0:09:58] 勝源: そんなmillionも配信試合で見れます
[0:09:58] anti0124: ろくなのいねえなぁ！
[0:10:00] カンタンク: すごいわかりやすい！
[0:10:01] ぺぷすぃ: なんだただのスマーフか
[0:10:01] なおちゃこ: り、おんってサブアカスマーフだっけ
[0:10:01] カツカツ丼: わかりやすくていいね
[0:10:01] だいもん_: お、とうと
[0:10:01] morimori03020320: りおんだのみりおんだの
[0:10:01] syuimee: とめるさんのバーキンデリバリーって見たことあるっけhttps://youtu.be/5iuax8GIoCw?si=X30K1DIycqDyIMPC
[0:10:02] kopi0116: こんけんき
[0:10:06] 狸狐: ヴァロの住人ってほかのゲームより陰湿でマウントとりたがる奴多くない？
[0:10:06] cafy_23: ガチの悪魔
[0:10:06] kyabumaru_jjblash: ベニは？
[0:10:07] チェスタトン: ギリ、りおん
[0:10:08] ruizz1124: 引リツしてるやつの6割くらいランクブロンズなんやろうなぁｗ
[0:10:09] ザリガーノ: Twitterのヘッダーの人
[0:10:23] オレンジ野郎: ハーフカットじじいもか
[0:10:25] ぺぷすぃ: rionの話もう3年くらい前なのにまだ掘り起こされるのおもろい
[0:10:27] やったあ: ヴぁろはもうオワコン
[0:10:27] syuimee: 固まった
[0:10:28] 名無し333: カタカタ
[0:10:31] kanipan07: バァロ界隈怖くて泣いちゃった
[0:10:36] hibari_1104: り、おんが未だにヘッダーのこと言うてるの笑う
[0:10:41] 名無し333: みっ、ち
[0:10:42] kanipan07: み、っちー
[0:10:42] オレンジ野郎: かたかたけんき
[0:10:43] kuma_house: 永久に擦られるり、おん
[0:10:47] kibidango551: でもり、おんは定期的に弄らないと
[0:10:48] オレンジ野郎: みつちさん
[0:10:49] morimori03020320: ありがとねぇ
[0:10:51] pasutel097: ty
[0:10:52] nemimi2532: こんにちわ(◜ᴗ◝ )
[0:10:57] anti0124: 人材豊富
[0:10:58] 勝源: みついちさんありがとねえ
[0:11:01] kanipan07: わっか
[0:11:05] pasutel097: わけぇ
[0:11:06] morimori03020320: しっかりしてるよなあいつ
[0:11:07] 名無し333: 俺より2歳年下マジか
[0:11:08] syuimee: 若い
[0:11:09] dauda2: 毛生えてねえじゃん
[0:11:11] hibari_1104: しっかりしてる
[0:11:16] カンタンク: みっちーって思ったより礼儀いい
[0:11:17] ruizz1124: みっちーは化け物になってるだけで本当はいいやつ
[0:11:17] オレンジ野郎: 俺の4個上なんだよなぁあれで
[0:11:17] kuma_house: そっちか
[0:11:18] はいじんちゃん: 丁寧な人物認定は営業妨害
[0:11:18] basho2022: ミッチーのギラギラした感じ嫌いじゃないよ
[0:11:23] usagigabyte: ひろみち！？
[0:11:28] ツイッチ表示名: それ剃ってるだけだろww
[0:11:32] kyabumaru_jjblash: けんきさんは30？
[0:11:33] kanipan07: 大学生かよwwwって思ってたら大学生くらいの年齢で草
[0:11:35] usagigabyte: わかすぎ
[0:11:42] cafy_23: え、なこが剃毛したからな
[0:11:44] 暁月さん: 危機感にき見た？
[0:11:47] いいね_ボット: みっちーはRUSTから成長した
[0:11:48] zababa0324: じゃあ嫁枠のsuzuって何歳だ？
[0:11:52] ぞうくまいくお: しっかりしてるとか年齢関係ないよね
[0:11:52] kuma_house: かるびとツノがきのバロおもろかった
[0:11:57] オレンジ野郎: ぐぅ尊敬
[0:11:59] morimori03020320: 大学生って認識で見ると半端ないんよ
[0:12:00] はいじんちゃん: あいつ絶対いいやつだけど、モテるから嫌だ
[0:12:01] kibidango551: 22とかの人みっちーしかわからん‥‥
[0:12:03] komomo_beans: 去年大学卒業したね
[0:12:05] syuimee: Suzu さんにあーんされてたね
[0:12:16] keishirou77: 人生何週目やろ
[0:12:23] fumoti23: おはけんき
[0:12:24] morimori03020320: こたぁ
[0:12:24] なのつん: kenkiKota kenkiKota
[0:12:25] usagigabyte: kenkiKota kenkiKota kenkiKota
[0:12:26] pasutel097: ん？
[0:12:26] kanipan07: 25くらいだと思ってた
[0:12:27] hibari_1104: こたぁ
[0:12:27] オレンジ野郎: そう思うと高木も凄いよな
[0:12:30] syuimee: kenkiKota
[0:12:30] kuma_house: コタ悪い子してる？
[0:12:33] 名無し333: kenkiKota kenkiKota kenkiKota
[0:12:34] たくあん01: こたぁ
[0:12:34] ウォッチっち: kenkiKota kenkiKota kenkiKota kenkiKota kenkiKota
[0:12:35] はいじんちゃん: 凸
[0:12:35] kibidango551: でかいこたろう？
[0:12:36] mi_poo: kenkiKota kenkiKota kenkiKota
[0:12:37] anti0124: いけない！
[0:12:37] ぞうくまいくお: 逃げろこたー
[0:12:38] kopi0116: こたぁ
[0:12:41] オレンジ野郎: ぴんぽーん
[0:12:46] 黒柴のしっぽ: 高木の5年後楽しみ
[0:12:46] ツイッチ表示名: 高木は18とかやろ？高木の方が凄いかも
[0:12:48] りんねこー: こた元気ー？
[0:12:50] kyabumaru_jjblash: お仕置き中？
[0:12:53] hibari_1104: 高木のユニフォーム卒業式に着てくってツイート微笑ましかったw
[0:12:59] kurusyuta: そういやとめるがもらったPCすごいハイスペックだよね
[0:12:59] オクタゴン: オクタゴン subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! こんけんき〜
[0:12:59] usagigabyte: かわいい
[0:12:59] kanipan07: かわいい
[0:13:02] morimori03020320: イタズラ好きこたちゃん
[0:13:03] 昆布畑: かわいい
[0:13:03] lyysurxusyrxeurdirxu: こんけんき
[0:13:04] いいね_ボット: けんきの家来客者多すぎないか
[0:13:04] pasutel097: もう一度よこせ！
[0:13:05] オレンジ野郎: かわいい
[0:13:06] hibari_1104: かわいい
[0:13:07] ぞうくまいくお: かわ
[0:13:08] syuimee: なんか色んなものに興味があるこた
[0:13:08] takahashi_png: kenkiKota
[0:13:09] オクタゴン: www
[0:13:10] suri_pi: 悪戯っ子や
[0:13:10] 名無し333: かわいい
[0:13:16] ポパピペポ: かしこい
[0:13:17] anti0124: スネークはしないんだ
[0:13:18] hibari_1104: こちゃ〜
[0:13:19] usagigabyte: kenkiKota kenkiKota kenkiKota
[0:13:19] kanipan07: こたちゃんねる
[0:13:21] morimori03020320: こちゃあ
[0:13:22] pasutel097: かわいいねぇ
[0:13:23] syuimee: かわいー
[0:13:24] マサネコマサムネ: kenkiKota kenkiKota kenkiKota kenkiKota kenkiKota kenkiKota kenkiKota kenkiKota kenkiKota kenkiKota kenkiKota
[0:13:25] suri_pi: かわいい
[0:13:26] カツカツ丼: kenkiKota kenkiKota kenkiKota kenkiKota
[0:13:28] オレンジ野郎: ごみ出しに行こうとしたんやろ
[0:13:30] petbottle429: かわよ
[0:13:30] marimo_tsf: こんけんき
[0:13:32] kanipan07: かわいいねえ
[0:13:34] zababa0324: けんきとこたってどっちがイタズラ好きですか？
[0:13:34] ぺぷすぃ: かわいい
[0:13:34] kibidango551: kenkiKota「こうやって甘えれば許してくれるやろ」
