[0:00:18] 祖国のために: ハイサイまいど
[0:16:01] PlooonN: えっぐい
[0:16:02] seryuse: わぁお
[0:16:02] jagabee_oisi: つよｗｗｗｗ
[0:16:03] インペリアルデグー: Pog
[0:16:03] ルーティン: yutaponKamiyure
[0:16:03] elshadd0llshekh1naga: つよ
[0:16:03] replus66: は？
[0:16:04] パンダの煮つけ: うま
[0:16:04] ヒサツグ: yutaponKami
[0:16:04] ktrbm: 倒してしまえばガンクは来ない
[0:16:04] tnbchan2: yutaponKami
[0:16:04] にっちょ: まじかよ
[0:16:04] maisonligera: yutaponKamiyure yutaponKamiyure yutaponKamiyure yutaponKamiyure yutaponKamiyure
[0:16:05] 筍土竜: 超うめーや
[0:16:06] tktkappaking: 神
[0:16:06] HARAKIRINinja: yutaponKamiyure yutaponKamiyure yutaponKamiyure
[0:16:06] ナスくん: このチャンプレーン強すぎだ
[0:16:06] gyosan: ｶﾁｶﾁｶﾁｶﾁ
[0:16:06] mdgtricky: それっぽい
[0:16:09] しぐりる: うますぎ
[0:16:10] genta45: うますぎ
[0:16:11] yagamirenjp: トップレーナーなのにADCうまいですね
[0:16:17] ktrbm: と思ったら来た
[0:16:30] ナスくん: トップレーナー全員カリスタやってるからできるよ
[0:16:35] seryuse: タリックブラッドソングいくのか
[0:16:37] fizzzsupport: 必死に生きようとするタリックに涙が止まらない
[0:16:42] 筍土竜: 今のところ動画化できそうです
[0:16:42] monzyara6: サイオン以外でもうますぎですね
[0:16:44] octa03: これがサイオンで培ったダメトレの極意
[0:16:49] kitajimanono: ガレンならタリック救えましたよ
[0:16:55] daredare33: ハースバウンドアックスくん…
[0:17:09] shimane_no_wakamono46: サイオン痩せた？
[0:17:34] mdgtricky: ピンクくれないタイプか
[0:17:42] 怠惰00: 全部避けるやん
[0:17:47] ktrbm: レベル竹～～
[0:17:48] PlooonN: 大集合で草
[0:17:53] elshadd0llshekh1naga: 悲しみのTP
[0:17:55] おさんぽ: いっぱいきた
[0:17:57] ナスくん: tpのミニオンにパッシブつけまくってQで飛ばせますか？
[0:18:02] daredare33: midやばｗｗ
[0:18:05] replus66: すごすぎで
[0:18:09] nyarss12: ヴァスルRをAAで避けるのうますぎｗ
[0:18:21] nine_evol_boost: ダイアナの強み
[0:18:23] seryuse: 6もじゃ強え
[0:18:24] オペ子さん: 6グラブパワー
[0:18:24] daredare33: 味方の森が存在しないかも
[0:18:25] ktrbm: 全員マクロ完璧じゃん
[0:18:25] kttk1130: カリスタで2本ないのはｗ
[0:18:29] refer8: いけんのゆたぽん2024
[0:18:32] _めるる_: BibleThump
[0:18:56] 筍土竜: みにおんすごいとこまできた
[0:19:15] zanqqqqq: カリスタがW取ってなくてもチーム誰も気づかなさそう
[0:19:20] refer8: ウィッツエンドほしい
[0:19:26] tgrcw: タワーバキボキ
[0:19:32] ソソ: このゲーム視界なんていらないんですよね
[0:19:39] teitei110: ちゅ
[0:19:42] mdgtricky: ちゅ
[0:19:45] gggajettto110: ちゅ
[0:19:46] ナスくん: やばいトップでは絶対出ない雰囲気が出る
[0:19:54] tgrcw: Shush
[0:19:59] ktrbm: サポートがレンジドならW取ってた？
[0:20:00] tktkappaking: タリックって体の周りに宝石みたいなの出なくなったんですか？
[0:20:01] refer8: っぱさいおんだわ
[0:20:02] あああああおあ: おじゃです
[0:20:04] aayatsu: サイオンなら
[0:20:08] もなぞう: midプッシュからドラゴンってk4senで学んできた
[0:20:09] shaiant: このチャンプ画面白黒の時間長くね？
[0:20:12] seryuse: 体硬いadcって無いんか
[0:20:13] りりぃち: ぽんさんの数日前の録画見返してたら配信はじまってたこんばんはありがとう
[0:20:14] amd_0723: AD消化したし次サイオンしましょう
[0:20:24] vanilla04989: あれ、音でかくなってる！
[0:20:32] fizzzsupport: 日本サーバーの強化のために味方への"意見"は積極的に発言して動画化しましょう
[0:20:33] kitajimanono: ボッサイやりませんか？
[0:20:37] tnbchan2: これじゃあまた次回の動画もサイオンになっちまうよ
[0:20:56] ktrbm: タリックをネクサスにぶつけて勝つよ
[0:21:15] Blazestarlight: レンジドって言葉が一瞬シンジドってみえた。目が終わってるかもしれん
[0:21:22] 筍土竜: きつすぎ
[0:21:32] nnmgk: ファーム
[0:21:32] 怠惰00: adcはなにもできない
[0:21:38] joozlk: サイドステップ
[0:21:56] mineral__: なんか体弱そうなチャンプ使ってますね
[0:21:58] ナスくん: タリックを助ける事が出来ます
[0:22:02] もなぞう: このチャンピオンハリケーンないとストレス
[0:22:19] 筍土竜: わあ
[0:22:20] fizzzsupport: 草
[0:22:22] daredare33: プロシーンでは神ロールなのに
[0:22:37] ひとま: ｗ
[0:22:43] _めるる_: 免許が
[0:22:44] ktrbm: キンドレッドが乗るの卑怯だな
[0:22:49] teitei110: 吸い込んでもタリックの無敵もらえないんだ
[0:23:03] FR1SK_noob: ぽんさんおじゃ リアタイできて嬉しいです
[0:23:30] Elrena1918: こんにちは
[0:23:35] dotaplayer2099: what item is your profile picture?
[0:23:44] ぞんび25: ようつべから来ました、サイオン免許講習の会場ってここであってますか？
[0:23:46] PlooonN: シャットダウンタリヤ全回収
[0:24:07] nyarss12: スマイトが打てるADC
[0:24:09] gyosan: 最強のスマイト
[0:24:12] elshadd0llshekh1naga: 絶対盗まれないバロン
[0:24:14] ヒサツグ: アイコンのアイテム何？って質問来てます
[0:24:16] shaiant: ソラリだ
[0:24:18] 筍土竜: プロフ画像なんやねんそれ！だって
[0:24:21] ktrbm: ken of Tentei
[0:24:30] ひとま: ｗｗｗｗ
[0:24:33] adumino: ｗｗ
[0:24:42] ナスくん: 100%合ってる
[0:24:47] hex65535: 正解
[0:24:48] adumino: 嘘は言っていない
[0:25:01] daredare33: sword of divine
[0:25:11] fizzzsupport: UNIQUE Passive:+18 脅威 UNIQUE Active:3秒間または3回Critical Strikeが出るまでの間、+100% Attack Speedと+100% Critical Chanceを得る。 CD: 90s
[0:25:27] bless_3564: あびね～
[0:25:37] Shijimi0013: 無力だ。。
[0:25:41] r1inride: フラッシュ無いよ～
[0:25:42] FR1SK_noob: ダイアナのR逃げられなくて気悪いですよね
[0:26:32] Shijimi0013: ぺち
[0:26:33] refer8: w
[0:26:37] nnmgk: 体が弱いでつね
[0:26:38] FR1SK_noob: 串刺しにされましたね
[0:26:42] refer8: くしざしにしてやるぜ〜
[0:26:45] 怠惰00: ティアマト無いとクソ遅い
[0:26:47] ひとま: サイドレーン一生おされる
[0:26:52] tgrcw: NotLikeThis
[0:26:58] irohasu8765: サイラススキル全然当たらんｗ
[0:27:24] r1inride: カリスタってもしかして弱い・・・？
[0:27:33] mikeneko: ぽんさんこんばんは！ぽんさんはテルミヌスってアイテムどう思いますか？どんな時に積むのかとかアイテムの強さとか正直イマイチわからないです
[0:27:40] kitajimanono: ガンダムSEEDの映画見に行きました？
[0:27:53] PlooonN: エイトロってスーパーミニオン倒す速度レべチだよね
[0:28:02] ナスくん: テルミヌスって呼びづらくないですか？
[0:28:07] apororon: つまり今
[0:28:29] teitei110: ソラリってアイテムコスパ最強ですか？
[0:28:42] みかんいろはす: なんでレンジ妖夢ナーフしたんだよ！
[0:29:10] alexalesand: 町の中心が
[0:29:17] daredare33: 最高に面白い瞬間だ
[0:29:27] 麺屋: さっき人生で初めてのスクリプターにあった
[0:29:29] nnmgk: つらそう
[0:29:30] aayatsu: 何もしていないような錯覚
[0:29:30] shu_lol: BibleThump
[0:29:32] ヒサツグ: yutaponChill yutaponChill yutaponChill
[0:29:32] seryuse: サイコー
[0:29:33] わらび14: おじゃ、今日の動画のガレンもよかったです
[0:29:33] しはいちゃ: wwww
[0:29:33] 怠惰00: adcたのしそう
[0:29:33] tgrcw: うーん神ゲー
[0:29:33] hex65535: BibleThump
[0:29:34] r1inride: 神ゲ～
[0:29:34] tksss_: 飛び跳ねるんじゃなくて回転したいよ～
[0:29:36] maisonligera: yutaponChill yutaponChill yutaponChill
[0:29:38] りりぃち: ないすぅ！
[0:29:39] PlooonN: ADC最低な瞬間
[0:29:40] mikeneko: as積むやつのドミニクってイメージでいいですか？
[0:29:41] gdgdgdjp: LOL最高！
[0:29:41] yanadass: 神ゲー
[0:29:42] tamura1234: 30分無駄にした
[0:29:44] redninjakaz: ゆたぽんさんってLOLうまいんですか？
[0:29:45] ALO_555: 動画化失敗です
[0:29:48] alexalesand: この町が面倒を起こすことは二度とないだろう
[0:29:49] チョコ0225: こんばんは ADCサイオン見れると聞いて
[0:29:49] tnbchan2: おもしれーロール
[0:30:00] ミルクン: 左クリックのアタックムーブ入れてるとマップとかタブ押した時に移動するんですけど、対処法ってないですか？
[0:30:05] elshadd0llshekh1naga: あ
[0:30:07] syakeking_ow: やっぱTopか…
[0:30:08] yagamirenjp: え
[0:30:11] zakuro_03: うおおおお
[0:30:11] あるふぇにあ: ソロQではADCでもソラリやジャックショーみたいなコスパ防具積んだ方がいいんですか
[0:30:12] aksjdh12: ！！？！？
[0:30:12] mikeneko: 了解です！ありがとうございます！
[0:30:14] morimon99: 闇落ち
[0:30:14] ナスくん: LJLのネタバレやめてね
[0:30:14] tgrcw: ちょっとチルするか
[0:30:15] seryuse: ついにくるのか
[0:30:16] aayatsu: 動画ネタにしても危ないですよ
[0:30:16] tamura1234: ボッサイ・・・
[0:30:17] mnbvcxzAAA: ADCガレンでもいいよ
[0:30:17] oden_oden: 再評価路線
[0:30:22] りりぃち: 今日のスモルダーがまだですよ
[0:30:23] nininini2: 増えるからやめてやめてやめて
[0:30:26] チョコ0225: youtubeの視聴者大興奮ですよ
[0:30:32] ひとま: ダークサイドにおちる
[0:30:33] viwsritz: スモルダーどうですか
[0:30:33] kitajimanono: 本当にやろう
[0:30:34] kikouka1102: みたい
[0:30:35] elshadd0llshekh1naga: 左クリックとマップの話1億回目ですね
[0:30:35] tomoda39: BOTジグスはどこに消えたんですか？
[0:30:46] yanadass: 今日はADCの動画です!って言ってサイオン出てきたら流石に笑う
[0:30:50] Shijimi0013: "真面目な"ADCsion
[0:31:01] なんでもなおし: おじゃ。ADCサイオン始めるといよいよつべの動画サイオンとガレンだけになるけど大丈夫ですか？
[0:31:03] しはいちゃ: サイオンの面白さ語ってください
[0:31:05] 筍土竜: 14.3強いんじゃね
[0:31:06] ナスくん: 【真面目】カリスタがtpされてるミニオンにパッシブつけまくってQで飛ばせますか？
[0:31:12] ひまのじ: おじゃです 今日はムンドですか？
[0:31:12] Appleemon: わこつ
[0:31:17] daredare33: せめて、botレーンの動画にしよう
[0:31:22] fizzzsupport: 最初の30秒だけadc流そう
[0:31:23] elshadd0llshekh1naga: 丁度最新動画がガレンなんでいけますね
[0:31:30] tnbchan2: ミランくんのソロキュー撮ってアテレコしてごまかしませんか？
[0:31:30] megusuei: ADC見たい視聴者とサイオン見たい視聴者の2つを満足させてくれる
[0:31:37] Kamonabe178: Yasuoピックしてくれてありがとうございます。
[0:31:45] ナスくん: 【真面目】ありがとうございます
[0:31:49] ひとま: ガレンユーミ復権
[0:31:49] なごみん: 頭おかしい人が味方に来ると発狂しそうになるんですけどどうやってメンタルケアしてますか？
[0:31:58] 筍土竜: この真面目ルールまだ生きてたんですね
[0:32:08] チョコ0225: ｗｗｗ
[0:32:11] elshadd0llshekh1naga: ｗ
[0:32:13] りんぶる: わろた
[0:32:15] aksjdh12: www
[0:32:16] kanimiso_554: wwww
[0:32:16] ひとま: かまわんよ
[0:32:17] チョコ0225: 丁寧だな
[0:32:17] daredare33: wwww
[0:32:18] etekaw: w
[0:32:19] しらお: 伝統
[0:32:20] ルーティン: ｗｗｗ
[0:32:20] edhy0328: yutaponと申します、ってつけたらいける
[0:32:22] kokekokekokoko: ｗ
[0:32:22] チョコ0225: 謙虚だなぁ
[0:32:22] tkskt: やる気か
[0:32:23] travelerf0: 勘違いされる勘違いされる
[0:32:23] elshadd0llshekh1naga: 擬態やめてください
[0:32:23] etekaw: adcsionotpと申します
[0:32:25] llssnn66: エンゲージ決まったな
[0:32:26] r1inride: もう不穏
[0:32:27] saichan1114: w
[0:32:28] しはいちゃ: www
[0:32:30] yagamirenjp: 擬態始まった
[0:32:31] sacchanw2: ・・・
[0:32:32] bird_0713: opggはりなあ
[0:32:33] tsurukana: 詠唱
[0:32:34] tamura1234: ボッサイはまずチャットから始まる
[0:32:35] まお123: ...
[0:32:35] ke5ed9: ｗ
[0:32:35] Shijimi0013: 自己紹介しないと怪しいですよ
[0:32:36] ひとま: 沈黙が答え
[0:32:38] mnbvcxzAAA: 名を申した方が良くないか？
[0:32:39] kitajimanono: ボッサイみたいなことしてて草
[0:32:39] seryuse: どうなるか
[0:32:39] PlooonN: 味方にエンゲージ決めなくていいから
[0:32:41] elshadd0llshekh1naga: ・・・
[0:32:42] nigakikagin: アカウントban対策ｗ
[0:32:42] fizzzsupport: いやな人間がちらつく
[0:32:43] kokekokekokoko: 味方ビビってるよ
[0:32:43] kikouka1102: 自己紹介しよ
[0:32:43] _めるる_: サ
[0:32:44] r1inride: サポートにおすすめ教えといた方がいいですよ
[0:32:45] kanimiso_554: 去年度日本一ですって付けよう
[0:32:45] llssnn66: ・・・w
[0:32:45] 筍土竜: OPGGと相性いいサポート貼って
[0:32:46] tgrcw: ImTyping
[0:32:47] チョコ0225: どうや...
[0:32:47] mercury07w: いいよ（いやすぎる）
[0:32:51] ナスくん: このゲームぼっさいかゆたぽんか迷彩してくるのか・・・
[0:32:52] _めるる_: サイオ
[0:32:52] etekaw: ヤスオいるしレンジはやりたくないですね
[0:32:54] sanshouo: 特急呪物がチラつく
[0:32:55] なんでもなおし: 明確な拒否がないなら肯定なんだよね
[0:32:56] ひとま: 黙ってるってことはOKってこと？
[0:32:56] seryuse: だったらtop行って欲しいかも…
[0:32:57] すみれいろ: こたえは沈黙
[0:32:58] poppymasa: 推理始まってる
[0:32:59] yagamirenjp: 答えは沈黙
[0:33:00] チョコ0225: www
[0:33:00] ごまむぎちゃ: これ逆にドッジされません
[0:33:01] daredare33: 沈黙は肯定
[0:33:01] kanimiso_554: うおおおお
[0:33:02] sacchanw2: www
[0:33:02] ヒサツグ: うおおおおおおおお
[0:33:03] ke5ed9: そうだよ
[0:33:03] tkskt: 自己紹介しよう
[0:33:03] aksjdh12: yutaponと申します
[0:33:04] ひとま: OKってことだ
[0:33:05] noy35: ww
[0:33:07] fizzzsupport: セナやってくれるってさ
[0:33:07] チョコ0225: きたああああああ
[0:33:08] gggajettto110: Youtubeチャンネル貼りましょう
[0:33:08] r1inride: ADCきたああｗｗｗｗｗ
[0:33:08] りんぶる: きたあああああ
[0:33:09] tnbchan2: 許可ありがとー！
[0:33:10] etekaw: 沈黙は肯定っていう言葉があるんですよ
[0:33:10] tamura1234: 好きにしろってことだな
[0:33:10] tricktrack8784: 答えは沈黙
[0:33:17] conpacuto: ADCチャンネルだああああああああああ
[0:33:18] _めるる_: 選ばれたのは サイオンでした
[0:33:20] bird_0713: サイオンは脅しの道具じゃないよ
[0:33:21] seryuse: はじまったぁあ
[0:33:21] yagamirenjp: 日本人には言葉に出さずに空気を読むという文化がありまして
[0:33:23] daremoshinjiteha: サモリフは自由だ
[0:33:26] kamihusa: 勝てば動画化か
[0:33:31] おさんぽ: 声のトーンが上がりました
[0:33:31] ひとま: ADCSIONOTPツイッターで絶対かくやんｗ
[0:33:32] スコップ三段: メカゼロ使うならいいですよって言われたらどうしたんですか？
[0:33:32] なんでもなおし: 日本語通じてないだけかもしれんけど
[0:33:33] tridentatus: GOOOOO!!!
[0:33:37] kttk1130: あいつやん…って思われてそう
[0:33:39] kokekokekokoko: あ
[0:33:39] チョコ0225: おしー
[0:33:39] teitei110: 今クラーケンってつよいですか？
[0:33:40] 筍土竜: 待望のADC動画きたああああああああああ
[0:33:40] daredare33: くそー
[0:33:41] adumino: ｗｗｗｗ
[0:33:41] aayatsu: いったいどうして…
[0:33:43] travelerf0: やっぱりな
[0:33:44] kiminari1: おしいな～
[0:33:51] fizzzsupport: おし～
[0:33:52] tricktrack8784: 普通免許じゃなくて特殊免許扱いになります
[0:33:53] _めるる_: せめてもうちょっといいスキンにしましょ
[0:33:53] はんきー: 義務メカゼロ
[0:34:00] monzyara6: ぽんさん的に今のadcって不遇ですか？
[0:34:08] daredare33: やっぱ名前名乗ったほうが良いかもしれない、あの人も名乗ってたし
[0:34:10] tsurukana: みんなqueueから逃げ出した
[0:34:20] えりうす: こんばんは、ADC配信とのことですがサイオンガレンポニーの方がADCって出来るとは思えないんですけど
[0:34:20] poppymasa: ソロQにおいては常に同じ立ち位置
[0:34:21] tgrcw: サイオンbanされてたらどうしよ
[0:34:37] りんぶる: これ避けられてますね
[0:34:39] バスター7: ゆたぽんさんのドレイブンみたいです。
[0:34:54] PlooonN: これ次からサイオンBANされますよ
[0:34:57] ほたたっと: ぽんさんゼリどうですか
[0:35:01] teitei110: いらいらいいら
[0:35:02] えりうす: ラムスユーミbotやりたくなってきませんか？
[0:35:03] fizzzsupport: 回避リスト入れられてる
[0:35:04] daredare33: はじまんねーｗ
[0:35:04] ナスくん: さっきサイオンADCやっていいですかってチャット来たんですけどどうすればいいですか？
[0:35:21] nisemono93: ぽんさんてtftやってる？
[0:35:32] しはいちゃ: doggoやってましたねラムスユーミ
[0:35:33] kamihusa: もう一回お
[0:35:41] riputon11: ソラリってソロQでも積んでいいものですか？
[0:35:53] 音無_悠: 赤月＋終わりなき絶望＋巧妙な賞金首刈りのサイオンってやりましたか？
[0:35:55] 筍土竜: さいとらい
[0:36:02] karasiyade: ぽんさんに憧れてしんじど始めました
[0:36:04] まお123: ゴーストTPでばれてますよ
[0:36:18] travelerf0: バウスがやってましたね
[0:36:30] マグナです: そういえばT1のメンバーでぱるワールドやってるみたいですけど、DFMとかだとそういうのあったりするんですか？
[0:36:41] oden_oden: w
[0:36:41] kokekokekokoko: あ
[0:36:42] tgrcw: サイオン
[0:36:43] なんでもなおし: あっ
[0:36:43] poppymasa: あｗ
[0:36:44] おさんぽ: あ
[0:36:45] しはいちゃ: wwwwwwwを
[0:36:45] ひとま: あ
[0:36:45] daredare33: サイオンBANされてるｗｗｗ
[0:36:46] llssnn66: サイオンBANされてて涙が止まりません
