[0:00:28] xyabx: やあ
[0:34:28] the_knuckles_echidna: 取ってたらワードのところに出ます
[0:35:37] the_knuckles_echidna: 黄色とかピンクです？
[0:35:41] the_knuckles_echidna: 青無いです
[0:35:56] the_knuckles_echidna: 多分今コントロールワードです
[0:36:11] the_knuckles_echidna: 赤がオラクル
[0:36:15] nun__vt: こんばんは
[0:38:29] nun__vt: なんでワイリフなんですか！w
[0:38:44] the_knuckles_echidna: モンスターには800です
[0:39:12] nun__vt: あ、なるほどw
[0:39:13] the_knuckles_echidna: チャンピオンとかミニオンにも打てます
[0:39:29] the_knuckles_echidna: ジャングル以外が取るとあのバフ出ないです
[0:39:57] y4han: ワイリフって思った以上に簡単になってないから逆にいいよね
[0:40:30] the_knuckles_echidna: あとバグが少なくてあったらお詫びでブルーエモートくれます
[0:40:36] gustavosellama: リークやネタバレ禁止
[0:40:55] mckee_cc: 4人いるからccチェインも無限に感じる
[0:42:21] the_knuckles_echidna: 上がるようになりました
[0:42:44] the_knuckles_echidna: pcと同じ様に敵を攻撃はしないです
[0:43:49] the_knuckles_echidna: ネクサスだけめっちゃ速くて強いです
[0:44:34] senju_jp: ワイルドリフトのネクサスこんななのかｗ
[0:44:39] カルピスウォーター: リグレジェしてるマジ？
[0:45:19] 冷製カミス: セラフィーンのULT
[0:45:29] とまとちやん: スタッツすごいことになってるw
[0:45:35] カルピスウォーター: 岸さんの歌声
[0:45:35] nun__vt: ww
[0:45:53] カルピスウォーター: GG
[0:46:05] y4han: 楽勝ですか...
[0:46:07] 冷製カミス: MVP
[0:46:20] the_knuckles_echidna: 攻撃の隣にある小さいマークでミニオンとか建造物とか攻撃できます
[0:46:42] カルピスウォーター: リグレジェも見てみたいかも
[0:46:56] nun__vt: サモリフもやってください！
[0:47:15] カルピスウォーター: まじ？w
[0:47:24] the_knuckles_echidna: 上位の人のパクれます
[0:47:30] nun__vt: やりますよw
[0:48:10] カルピスウォーター: 好きそうw
[0:49:04] the_knuckles_echidna: 前シーズンランクゴールド以上だとランク限定のj4スキン取れました
[0:49:05] 冷製カミス: 名前は知ってるけど～
[0:49:07] カルピスウォーター: うけるw
[0:49:58] the_knuckles_echidna: リー・シンのwも方向指定できます
[0:50:31] 冷製カミス: ｗｗ
[0:51:30] カルピスウォーター: www
[0:51:31] 冷製カミス: stansm1OooDa stansm1OooDa
[0:51:46] 冷製カミス: タップでスキルコンボむずそう
[0:52:12] the_knuckles_echidna: フラッシュeqがやりやすくなりました
[0:53:11] K4nataMizLizy: タンスにゴンゴン？
[0:53:30] the_knuckles_echidna: 敵多分もうbotじゃなさそうですね
[0:53:37] 冷製カミス: ｗ
[0:54:20] かぼすー宮崎駿: 珍しい方のRIOTやってる
[0:56:19] 冷製カミス: パイク？
[0:56:22] ogtyyyooo: パイクですね
[0:56:27] the_knuckles_echidna: Xマークは体力が少ないと確定で死にます
[0:56:52] 冷製カミス: なんか変な音聞こえたら周囲にステルス中のパイクが
[0:58:16] the_knuckles_echidna: トップだけできました
[0:58:33] 冷製カミス: ｗ
[0:58:45] 冷製カミス: 気になる
[0:59:02] yamada0421: j4好きなの理由あるんです？
[0:59:10] the_knuckles_echidna: 非喫煙者と追いかけっこ起こるんです？
[0:59:43] 冷製カミス: なるほど
[1:00:51] 冷製カミス: ＾ｖ＾
[1:00:57] 冷製カミス: ｗ
[1:01:05] the_knuckles_echidna: オファーのところ一つ無料で引けます
[1:01:19] the_knuckles_echidna: デイリーパックだっけ
[1:01:25] the_knuckles_echidna: セット
[1:02:17] 冷製カミス: 本家にも欲しいスキン
[1:02:54] the_knuckles_echidna: 左上でポジションでソートできます
[1:02:55] あをば: ﾜｲﾘﾌ？
[1:03:22] the_knuckles_echidna: たまに来ますけど別にそこまで強くないですね
[1:03:42] the_knuckles_echidna: それジャングルです
[1:04:23] 新鮮なとまと: なんかショートで流れてくる
[1:04:25] 冷製カミス: プレデターとかなんかクッソ早いヌヌンプ
[1:05:00] the_knuckles_echidna: トゥイッチはジャングルも出来るってだけですね
[1:05:59] the_knuckles_echidna: 心の鋼とタイタンハイドラ出来てタンクに優しくなりました
[1:06:09] yamada0421: ジャックス アート変わる前が好き
[1:06:30] the_knuckles_echidna: 私ウーコンotpなんでウーコンですね
[1:06:31] 冷製カミス: ｳｰﾝｺの方がCCありそう
[1:06:46] あをば: ウーコン楽しい
[1:06:59] 冷製カミス: ｗ
[1:07:02] the_knuckles_echidna: ムンドトップの方が多い印象です
[1:07:11] 冷製カミス: リワークされましただいぶ前に
[1:07:28] the_knuckles_echidna: ウーコンのパッシブとqが違います
[1:08:58] yukkurihituzi: 大御所ゲーム三昧！ #ワイリフ 特集https://x.com/E5esportsWorks/status/1764584067327303868?s=20
[1:09:50] あをば: 大御所とﾜｲﾘﾌ企画やるんですね笑
[1:10:38] 冷製カミス: 皇帝セロス
[1:10:42] senju_jp: セイセイｗ
[1:10:59] the_knuckles_echidna: あと20キャラ？開放してないとランクできないですね
[1:13:03] akkiyest: 岸さんがスマホモバやってる！懐かしいですね
[1:13:14] 冷製カミス: 解放コストが5500？とか見えたけど20キャラ大変そう
[1:14:25] あをば: タロン強い
[1:18:08] yukkurihituzi: 明日同じこと言ってる人いそうｗ
[1:18:48] 冷製カミス: ｗ
[1:19:08] 冷製カミス: お手軽CCベイガー君
[1:19:10] あをば: ベイガーワイリフだと火力すぎだせるのかなw
[1:25:28] あをば: 良い！
[1:26:08] riceshower52: w
[1:26:12] 軍手袋: こんちは～ もしかして今はなきチルスマイト？
[1:27:34] 余暇にて: ワイリフじゃん
[1:28:05] nun__vt: ワイリフやった事ないけど、サモリフとあんまり変わらないんですか？
[1:28:53] 余暇にて: チャンピオンは本家より少ないしスキルがちょっと変わってたりする
[1:29:00] the_knuckles_echidna: イグナイト？
[1:29:19] 軍手袋: スレッシュのデフォアイコン違うの違和感ある～
[1:29:27] nun__vt: スキル違うんですねw
[1:32:00] あをば: ヴェックスかわよ
[1:33:57] あをば: マネージャー通してもらっていいですか?って大御所ヅラしよう
[1:34:16] yukkurihituzi: まあしゃあない 渡さんわけにもいかんしなぁ
[1:36:07] nurararasub: 岸さんがスマホmobaやってるのなんか懐かしい
[1:39:14] かぼすー宮崎駿: 使ってるキャラ序盤強いキャラでしたっけ
[1:41:10] yukkurihituzi: LUL LUL LUL
[1:41:11] takosu_1: す、まいと
[1:41:59] yukkurihituzi: まあ結構なかった
[1:43:34] takosu_1: DinoDance DinoDance
[1:43:36] あをば: akedasHISSSSS
[1:45:06] 冷製カミス: stansm1OooDa
[1:46:01] 冷製カミス: スマホMOBAとか長時間下向く系のゲーム、首凝りそう
[1:46:05] yukkurihituzi: AFK
[1:46:14] 冷製カミス: report jg
[1:46:26] yukkurihituzi: はやかったｗ
[1:47:30] あをば: そのゲームだけは手を出しては行けない
[1:47:54] 冷製カミス: w
[1:50:22] yukkurihituzi: ｗｗ
[1:50:22] yo0kan: wildriftだ
[1:51:48] yukkurihituzi: あぶねー
[1:51:57] 冷製カミス: こっわ
[1:56:19] くえんち: みんなー
[1:58:02] 余暇にて: 自分のスキルの通常攻撃で突っ込んでるんじゃ
[1:58:15] takosu_1: サモリフみたいにおすすめが出ればいいのに
[1:59:40] yukkurihituzi: LoLはどうしてたらよかったのかがわからん
[2:00:35] 炭酸水散水: 岸さん最近サモリフやってますか？
[2:00:49] 余暇にて: ディバインなら硬くなる
[2:01:35] yukkurihituzi: おティーモ
[2:01:43] 冷製カミス: ラックス頑張れー
[2:01:47] takosu_1: ラックス頼んだ
[2:02:36] 冷製カミス: 初手相手ジャングルを荒らしていくぅ
[2:05:57] 冷製カミス: え、今のラックス？
[2:12:01] 冷製カミス: LUL
[2:12:11] siro1102yamaken: ＾ｖ＾
[2:16:56] えーーす: 今週末RAGEカフェ行こうと思ってるんですが、店内でVCJ配信流れてると思いますか？
[2:18:33] えーーす: 試合やってる日なので、行ってみます！ありがとうございます。
[2:33:59] yukkurihituzi: LUL
[2:36:40] 冷製カミス: LUL
[2:39:18] かぼすー宮崎駿: まじでLOL劇場ｗ
[2:39:38] 冷製カミス: ｗ
[2:40:55] yukkurihituzi: OK
[2:40:58] かぼすー宮崎駿: お疲れ様です。
[2:41:04] yukkurihituzi: また
[2:41:04] 冷製カミス: お疲れ様です
