[0:00:17] mci_foden: にょっす
[0:07:18] takahashi_png: ｱｰﾈｺﾁｬﾝ
[0:07:19] matttiiiiiiii1: セクシーポーズﾈｺﾁｭﾝ
[0:07:26] 昆布畑: 見てくれてありがと
[0:07:29] たこのあお: シーン3つ作るといいかもです
[0:07:29] てーヘん: 今ちょうど外だから買おうかな
[0:07:34] えびびびび: 途中からだからよくわかんないけど キャプチャだけのシーン作れば シーンをソースで色々加工出来る
[0:07:36] saidon471: 昨日のセット崩れてないと風呂入ってないことになるから
[0:07:39] Panopticism: 素敵なヘアカッ、相棒
[0:07:42] 昆布畑: VC活発だよね
[0:07:49] artificial_prayer: もうディスコードでけんきの悪口言えない
[0:07:49] picchan_0: お、髪切った？
[0:07:49] takahashi_png: lol部屋が活気あったの笑っちゃった
[0:07:51] sadygaga: ディスコ招待してほしい
[0:08:07] ハイ_: タモさんいた？
[0:08:13] けんき: https://discord.gg/c2A3p4tW
[0:08:19] murasima: これは誰でも入れるんですか？！
[0:08:21] takemusou: あざんます
[0:08:22] matttiiiiiiii1: タモさんも観ています
[0:08:23] 神恵内: 髪型いいな
[0:08:25] 蕎麦つゆ: ようこそ
[0:08:26] sadygaga: あにがと
[0:08:27] てーヘん: これでまた仲間が増えるね
[0:08:48] iru923: どうやってはいるんだろって思ってた
[0:08:54] 昆布畑: なんだなんだ
[0:08:56] らずきち: 今日はなにかなぁ
[0:09:00] はまオジ: こんけんき
[0:09:03] みわ5: なんこれ
[0:09:04] 昆布畑: それか
[0:09:07] bossneko616: ん？
[0:09:15] かつおぶっしー: でゅんでカットして若返ったな
[0:09:16] てーヘん: 無料？
[0:09:18] sin_key_law: どうして俺が職場復帰した日に参加型するんですか
[0:09:20] さすらい777: スト...スト！？
[0:09:20] ててて데데데: こんけんき
[0:09:21] ph11zyr: ストスカ？
[0:09:23] ハイ_: sekiHH sekiHH sekiHH sekiHH sekiHH
[0:09:24] びりびり0810: アニメ調ね
[0:09:26] scrapcrafter25: なにこれ？！
[0:09:32] 昆布畑: LOLとOWじゃね
[0:09:33] らずきち: にくきゅう
[0:09:35] naosan__: riotっぽい
[0:09:38] ぺろキャン: ほえ〜
[0:09:38] メメちゃん: ラインハルトおるやん
[0:09:42] びりびり0810: 初めてみました
[0:09:47] はまオジ: ロルウォッチラント
[0:09:49] だいもん_: 韓国語しかないみたいなの見た
[0:09:52] ぴょんす713: よくばりセット
[0:09:52] 神恵内: 欲張りなゲーム
[0:09:53] らずきち: ほんとだ
[0:09:56] らい051: ぱっと見ow
[0:09:57] ph11zyr: OWの目指す先
[0:09:58] やまだニキ: おもしろそう
[0:09:58] びりびり0810: ほへ〜
[0:10:00] 昆布畑: 楽しそう
[0:10:02] いいね_ボット: マータパクリゲーですか
[0:10:04] キセルちゃん: 何その悪魔のゲーム
[0:10:04] 丸ゐ: 何それおもろそう
[0:10:06] 神恵内: ええやん
[0:10:09] 蕎麦つゆ: なんか良さそう
[0:10:12] オレンジ野郎: こんけんき
[0:10:13] scrapcrafter25: ええやん
[0:10:14] nyossu28: TPSおーばーうぉっあ
[0:10:14] picchan_0: オーバータイム
[0:10:14] おもチ: 壁の向こう見れるのか
[0:10:16] kuros46790: 加藤純でイケメンになったと聞いて
[0:10:16] mimitabu__: スキルがまんまLoLや
[0:10:16] tAm4go: メテオストライク！？
[0:10:19] びりびり0810: OWみたいにワチャワチャしてる
[0:10:20] maron229: OW× LOLとか特級呪物にならんか？
[0:10:20] ph11zyr: 普通に面白そう
[0:10:20] さすらい777: ロルラントウォッチ
[0:10:22] ぺろキャン: アクション要素強めでいいね
[0:10:23] takahashi_png: kenkiKota kenkiKota kenkiKota
[0:10:23] tekitoodesu: PopNemo PopNemo
[0:10:24] はまオジ: タワー破壊するだけじゃないんだ
[0:10:24] trickster0083: 闇が深そう
[0:10:25] ikachan09: こんにちは！
[0:10:26] ハイ_: ｺﾀﾁｬﾝ
[0:10:27] kuria0712: おは
[0:10:27] 2期: 今準備するから雑談頼む
[0:10:29] かつおぶっしー: 結構おもろそうやん
[0:10:31] オレンジ野郎: なんこれ
[0:10:34] artificial_prayer: けんきがTPSってちょっと珍しい？
[0:10:36] koutya_oisi: ゲーム性がlolってのがなんとなく分かるの良いね
[0:10:37] aka_rida: UIがOWすぎる
[0:10:38] 昆布畑: これをミリしらでやると
[0:10:38] sherlock_0921: 俯瞰じゃないlolか
[0:10:40] pokpokpink: へー
[0:10:40] てーヘん: いくら？
[0:10:43] naosan__: おもしろゲームキメラじゃん
[0:10:44] らずきち: DLはじめた？
[0:10:46] はまオジ: でもお高いんでしょう？
[0:10:46] dunas1833: 最近？多いTPS的なMOBAかあ
[0:10:46] 蕎麦つゆ: ちゃんとマッチするんかな
[0:10:48] iiikmiii: 髪型いい感じですね～
[0:10:49] takahashi_png: ほー
[0:10:53] やまだニキ: まさかの？
[0:10:55] ダンデり: まさか
[0:10:56] らずきち: なんと？
[0:10:57] だいもん_: まさかの
[0:10:57] ぺろキャン: なんと？？
[0:10:57] はまオジ: ふぁっき・・・
[0:10:58] かつおぶっしー: ファッキン無料！？
[0:10:59] 蕎麦つゆ: ええええ
[0:10:59] びりびり0810: うおおおおおおおおおおおお
[0:11:00] らずきち: おぉ
[0:11:01] sin_key_law: うおおおお
[0:11:01] sherlock_0921: なんと！？
[0:11:02] だいもん_: うおおおおおおおおおお
[0:11:03] はまオジ: ファッキン無料！
[0:11:03] ランボルぎゅーにゅー: なんてこったww
[0:11:03] らあすと: ファッキン無料うおおおお
[0:11:03] 神恵内: うおおおおおおお
[0:11:03] mimitabu__: ファッキン無料！？
[0:11:03] bossneko616: まじかよ！？
[0:11:03] ph11zyr: マーシーみたいに女が使うキャラとかあるんかな？
[0:11:03] scrapcrafter25: 888888888
[0:11:04] とのは: うおおおおおおおおお
[0:11:04] ぺろキャン: うおおおおおおおおお
[0:11:04] iiikmiii: おおー
[0:11:05] やまだニキ: がちで？
[0:11:05] sherlock_0921: おおおおおおおお
[0:11:05] 雀魂救猫: 無料！？
[0:11:06] ph11zyr: うおおお
[0:11:07] takemusou: スマホ版あるんか
[0:11:07] kuria0712: F
[0:11:08] たおかん05: 無、無料⁉️
[0:11:08] nyossu28: ファッキン無料！？
[0:11:09] tekitoodesu: うぉぉぉぉ
[0:11:09] ダンデり: とりあえずダウンロードしますか
[0:11:09] naosan__: うおおおおおおおお
[0:11:11] ウォッチっち: うおおおおおお
[0:11:12] てーヘん: ふぉっきん！？
[0:11:13] いいね_ボット: 日本語対応してるのか？
[0:11:14] ランボルぎゅーにゅー: ほんまかいなうせやろ
[0:11:14] dendeguri: f無料
[0:11:15] ぺろキャン: 始めるしかねぇだろ
[0:11:16] takahashi_png: kenkiFurifurii kenkiFurifurii kenkiFurifurii
[0:11:18] さすらい777: ウェイワッツ！？
[0:11:21] bossneko616: 3回払いしなくていいのか？！
[0:11:26] mimitabu__: 女はマーシーやっとけ
[0:11:26] ぺんニキ: ご飯作ってる間に面白そうな話しているじゃないか
[0:11:27] rei0240: 髪かっこいい
[0:11:28] takahashi_png: kenkiKuromu
[0:11:30] なのつん: 違うの？
[0:11:32] 昆布畑: マーシーは肉便器
[0:11:33] ランボルぎゅーにゅー: ゆーみは女が使うから
[0:11:34] gyokuro1: それってぇ！
[0:11:35] 2期: マーシーは女が使うって聞いたぞ
[0:11:35] まぐろさん_: ソラカは女が使うキャラ
[0:11:39] kuria0712: 女みたいなピック
[0:11:44] 熱斗矢メロ: こんけんき
[0:11:46] adbgaming_: 女はマーシーでもやっとけ
[0:11:50] ディスタンス津田: ブラハは女が使うキャラ
[0:11:52] パンをドカ食いしたい人生: 髪の毛切った✨
[0:11:54] kaleido_3980: ラインハルトやる女はいないだろ
[0:11:54] いいね_ボット: マーシーはサウナ顔じゃないよね
[0:11:57] nomi43: けんきさんの動画で履修した
[0:11:57] ぺんニキ: 多様性の時代です
[0:11:58] 2期: 女がゲームするとかw
[0:11:59] purutoline: リア友にマーシー専の男いる
[0:12:00] ウォッチっち: で、ゲーム名なに？
[0:12:01] ランボルぎゅーにゅー: め、あ
[0:12:01] domudon: このゲームひなーのがうまそう
[0:12:07] 熱斗矢メロ: スキャンします
[0:12:08] artificial_prayer: 軽いのええな
[0:12:08] takahashi_png: はっや
[0:12:08] パンをドカ食いしたい人生: にゃーんするきゃらだからねｗ
[0:12:09] さすらい777: 軽いんか
[0:12:12] やまだニキ: 1分もかからんかたｗ
[0:12:12] seimei091: 髪の毛みすられてない？
[0:12:17] ダンデり: すぐおわったね
[0:12:19] かるのるら: ケトジェニック3日目死にそう!
[0:12:26] riasusieru: めっちゃ寝起きの顔してる
[0:12:34] kni_ookame: カセンさんがハマりそうでハマらなさそうなゲーム
[0:12:35] 2期: 1.8GBとか
[0:12:36] kuria0712: sekiDST sekiDST
[0:12:37] やまだニキ: ポリコレガン無視なのが好き
[0:12:42] てんむぁすぁん: オーバーウォッチやん
[0:12:43] びりびり0810: めっちゃロックでええやん
[0:12:44] sin_key_law: レッツロック！？
[0:12:45] bossneko616: もう神ゲーじゃん
[0:12:46] takahashi_png: 綺麗
[0:12:48] 1st_meridian: いい絵やね
[0:12:48] 神恵内: えっど
[0:12:49] ハイ_: sekiHH sekiHH sekiHH sekiHH sekiHH sekiHH
[0:12:50] matrix_025: 🐱
[0:12:52] kuria0712: OW
[0:12:53] hatatv: 動く
[0:12:53] mimitabu__: いいね
[0:12:55] ディスタンス津田: めっちゃOWのUIだけど
[0:12:56] 2期: ファイナルズ「これはダメでしょ
[0:12:57] scrapcrafter25: かわいい
[0:12:58] はまオジ: ギュルン
[0:12:58] kuria0712: sekiHH sekiHH sekiHH sekiHH
[0:13:00] まぐろさん_: 石渡味ある
[0:13:04] かつおぶっしー: 激しいなｗ
[0:13:08] callfield9: 曲がそれっぽいw
[0:13:08] GRANzHagisan: おｐ
[0:13:14] naosan__: メロスピなつい
[0:13:15] dunas1833: ドラゴンフォースみたーい
[0:13:17] koutya_oisi: けんきこれでthekenki開こうぜ
[0:13:18] toyooooo1234: 中学生です
[0:13:19] kuria0712: ふぅ
[0:13:23] mimitabu__: 猫ちゃんかわいい
[0:13:25] sin_key_law: ファイナルズにも見習って欲しいキャラデザ
[0:13:33] takahashi_png: kenkiFurifurii kenkiFurifurii kenkiFurifurii
[0:13:33] sparkmannnnnn: E
[0:13:34] ph11zyr: 去年の十一月配信なんだね
[0:13:35] sarusuberi22: 音がギルティっぽい
[0:13:38] musashi454: いいね
[0:13:39] あーる36: ええな
[0:13:39] tokasaaaaa: ここの配信には男女によってどーたらこーたら決める可哀想な人しかいないのですか？
[0:13:42] おがちゃん0308: nyaachoFurifuri nyaachoFurifuri nyaachoFurifuri nyaachoFurifuri
[0:13:42] らい051: ﾈｯｺﾁｬｰﾝ
[0:13:43] araburutake: 初期っぽい
[0:13:45] littleriver_0723: OwみたいなUI
[0:13:49] 1st_meridian: プレイしてみて
[0:13:54] はまオジ: ギュイイイイイイン
[0:13:59] 2期: AI戦やろう
[0:13:59] いいね_ボット: このUIなんか落ち着かないな
[0:14:01] らずきち: かわいいねえ
[0:14:08] bouhuu1: これ何のゲーム？
[0:14:08] はったん: ピッキングパーモニクスに思わず反応してしまうけんき
[0:14:10] 2期: インストした
[0:14:12] sparkmannnnnn: 昔やってたMOBAにこのキャラクターに似たのいた
[0:14:14] 仲根にど: ん？なんこれ
[0:14:14] artificial_prayer: ボイチャあるのか
[0:14:15] kuria0712: sekiScope
[0:14:15] wilkinson3389: 初コメです。けんきさんのYouTubeみてTwitch登録しました。
[0:14:17] はまオジ: これ1.8GBでいきなりプレイできるの？
[0:14:26] takahashi_png: ｷﾞﾀｰ馬鹿ほど長いｿﾛﾊﾟｰﾄあって欲しい
[0:14:27] takemusou: 言語がちょっと怪しい
[0:14:32] 仲根にど: 雑談と聞いてきましたが
[0:14:39] はまオジ: 回線弱者にも優しい
[0:14:40] 昆布畑: インストしたぞ！
[0:14:41] murasima: 神ゲーのよかん
[0:14:44] mimitabu__: AIあるんか
[0:14:44] らずきち: ほっほお
[0:14:48] らい051: バトルパス見たい
[0:14:51] 仲根にど: とりあえずえっちやな
[0:14:53] 1st_meridian: @wilkinson3389 いらっしゃい TPFufun
[0:14:57] てーヘん: ホームの子かわよ
[0:15:02] ウォッチっち: インスト完了めう
[0:15:05] sin_key_law: ラグナみたいなのおるな
[0:15:07] らずきち: はい
[0:15:09] のむのむの: ふむ
[0:15:11] おがちゃん0308: ｗｗ
[0:15:12] えにくすさん: こんけんき なにこれ おめすと？
[0:15:12] kuria0712: いったんね
[0:15:15] はまオジ: ブラインドピックがもろにLoL
[0:15:16] kikori_ossan: カテゴリ雑談でええんか？
[0:15:18] たおかん05: いったんな
[0:15:24] 1st_meridian: シューターか！わくわく
[0:15:24] ダンデり: ロビーコード教えて
[0:15:24] riasusieru: 強キャラ、ゴミキャラがいてキーバインド変えられないだそうです
[0:15:25] ててて데데데: ルームIDとかないんかな
[0:15:28] はまオジ: ソーシャルからかな
[0:15:29] はったん: ロビーコード？
[0:15:29] artificial_prayer: ロビーコードってやつじゃね？
[0:15:31] mimitabu__: ロビーコードでいけそう
[0:15:31] 2期: ルームコードください
[0:15:34] らあすと: ルームコード教えてくれたらいけるらしい
[0:15:35] araburutake: いったんバトルパス
[0:15:39] 緋蜂: こんけんき
[0:15:41] 仲根にど: このにゃんにゃんとにゃんにゃんできるんか？
[0:15:44] eyun0512: これなんてゲームですか？
[0:15:44] dvImwInvlgho: ゲーム名教えて
[0:15:53] はったん: なんでコピペできひんねん
[0:15:58] ph11zyr: 類似ゲームに二時六あるから神ゲー
[0:16:09] たけし2534: こんけんき
[0:16:09] はまオジ: ｗｗｗｗｗｗｗ
[0:16:12] riasusieru: ゲーム名 雑談
[0:16:12] じょんこにー: DLなう
[0:16:12] 1st_meridian: すうでに期待値でかい
[0:16:13] 2期: やるぞーーー
[0:16:18] けんき: fomcbcxo
[0:16:19] らい051: www
[0:16:20] tomdayo: ｗｗｗ
[0:16:20] ぺんニキ: クリック連打でいけない？
[0:16:22] かつおぶっしー: 文字の上でドラッグしないとできないんじゃね？
[0:16:25] kissyof: ダブルクリックは？
[0:16:27] びりびり0810: dlできた
[0:16:30] eyun0512: !game Storm Striker
[0:16:30] 2期: ガチのミリしらなんだが
[0:16:30] Nightbot: @eyun0512 -> The stream game has been updated to: Storm Striker
[0:16:32] kuria0712: 集まり早いな
[0:16:36] ダンデり: あと3人かもん
[0:16:37] はまオジ: もうすぐインスト終わる
[0:16:37] けんき: fomcbcxo
[0:16:38] 仲根にど: 絶妙な不親切さ
[0:16:42] reu2501: ネコちゃんいたっけ
[0:16:46] らずきち: 五人ずつ？
[0:16:47] 塩しゃけ定食: 5ｖ5？
[0:16:51] riasusieru: リスナーカモンタイム
[0:16:52] メメちゃん: ow..
[0:16:53] 2期: チーム差がやばそうな予感
[0:16:55] おもチ: 観戦枠開いてるぞ
[0:16:55] 仲根にど: ねこちゃんぺろぺろ
[0:16:59] ディスタンス津田: 66じゃないんだ
[0:17:04] ダンデり: まじでなんもわからんもんｗｗ
[0:17:05] nyossu28: オーバーウォッチ3
[0:17:06] なのつん: 寝起きで見たらOW
[0:17:15] ねこざめ3: ねこざめ3 subscribed with Prime. They've subscribed for 4 months, currently on a 2 month streak! 
[0:17:17] 蕎麦つゆ: はいれん
[0:17:17] sin_key_law: 洒落てんな
[0:17:18] ハイ_: ﾍﾟﾛｰ
[0:17:18] reu2501: ペロリーズ
[0:17:19] kuria0712: マップはランダムでいいじゃろ
[0:17:19] らずきち: 観戦もきたｗ
[0:17:22] morimori03020320: こんけんき
[0:17:23] かつおぶっしー: あーかいぶの雰囲気すこ
[0:17:24] Nykuji: おはけんき、キーボードもう変えた？
[0:17:25] hiyuki2578: こんけんき
[0:17:26] らい051: 初めからカスタム出来るの良いね
[0:17:26] らずきち: うまった？
[0:17:27] やまだニキ: はいれんｗ
[0:17:30] mossy_dayo: なにこれ、ow3-
[0:17:32] 株特濃ミルク: こんけんきー！
[0:17:32] 1st_meridian: どういうゲームだろって調べずに配信で初物に対面するワクワク感たまらん
[0:17:34] ダンデり: 集まったっぽい
[0:17:34] 仲根にど: ペロリ！？
[0:17:38] 昆布畑: LOLっぽいマップしよう
[0:17:39] はまオジ: ペロリーズ！？
[0:17:43] おもチ: マネに観戦入ってもらって神視点取って貰っとこうぜ
[0:17:43] 緋蜂: ペロリしていいんですか
[0:17:43] 2期: エロそうなマップだな
[0:17:47] みわ5: ぺろ
[0:17:47] morimori03020320: ペロペロ
[0:17:47] ぺんニキ: ぺろぺろ
[0:17:51] rei1217: prpr
[0:17:52] kuria0712: ガンエボより面白そう
[0:17:55] musashi454: ＷＷ
[0:17:56] ぺんニキ: （＾ω＾）ﾍﾟﾛﾍﾟﾛ
[0:17:57] はまオジ: 入ったら観戦だったんだよ
[0:18:00] tdn_ndt: おはんよ
[0:18:02] reu2501: 後方観戦
[0:18:02] 1st_meridian: wwww
[0:18:02] てーヘん: www
[0:18:02] tekitoodesu: ワロタ
[0:18:04] おがちゃん0308: なんかペーパーマンみたいだな
[0:18:06] びりびり0810: もう満杯だった
[0:18:09] らい051: ミリしら実況
[0:18:10] 仲根にど: にゃんにゃんがペロリーズしてくれるゲームと聞いてきました
[0:18:10] らずきち: あふれてそっちいったのかｗ
[0:18:14] ねめちゃ: こんけんき
[0:18:14] メメちゃん: ベンチ組
[0:18:16] 1st_meridian: 観戦かわいい
[0:18:22] tengu_114514: ｺﾝｹﾝｷ
[0:18:23] けろる: これOWでは無いんだよね？
[0:18:23] mimitabu__: えっちなお姉さんやろう
[0:18:23] はまオジ: LoL
[0:18:27] sin_key_law: 初期キャラ多くてええな
[0:18:28] おもチ: 黒いのは未実装?
[0:18:28] らい051: o,w
[0:18:29] reu2501: OW？
[0:18:30] メメちゃん: うーん..ow3
[0:18:30] purplinze: これふぁっきん無料ですか
[0:18:35] らずきち: ほぉお
[0:18:36] かつおぶっしー: 息子に従え
[0:18:39] inoko125: ow
[0:18:40] nyossu28: オーバーウォッチ
[0:18:41] riasusieru: とりあえずかわいいキャラを選びます
[0:18:51] からもこ: 何このゲーム
[0:18:52] メメちゃん: 安定のタンク奴隷制度
[0:18:55] morimori03020320: 可愛いキャラくれ
[0:18:56] びりびり0810: なんて？
[0:18:58] やまだニキ: なんて？
[0:18:59] kuria0712: sekiHH sekiHH sekiHH
[0:19:00] らずきち: っそ
[0:19:00] reu2501: 日本語でおｋ
[0:19:00] 神恵内: あんて？
[0:19:02] mimitabu__: や、すお
[0:19:02] purplinze: あ
[0:19:06] nyossu28: ボイス韓国語でワロタ
[0:19:06] てーヘん: 普通におもろそう
[0:19:06] musashi454: ん？
[0:19:06] GRANzHagisan: 最近の流行りはやはりパクリ
[0:19:07] scrapcrafter25: かっけぇ！
[0:19:09] びりびり0810: 日本語でおk
[0:19:10] rorifps_: よく動くな
[0:19:11] _しもん: っラインハルト
[0:19:11] たおかん05: 韓国語なのか
[0:19:13] artificial_prayer: 韓国語は流石にわからん
[0:19:13] inoko125: や、すお
[0:19:13] おがちゃん0308: かっこいいやん
[0:19:14] 1st_meridian: グラが神やな
[0:19:14] nyossu28: ベルンハルトwww
[0:19:15] sarusuberi22: 韓国語か
[0:19:16] けろる: このゲーム普通にクオリティいいぞ！
[0:19:18] ディスタンス津田: ソルジャー使おう
[0:19:21] だいもん_: タイトルのやつやん
[0:19:22] やまだニキ: モイラ？
[0:19:22] えにくすさん: 日本語でおｋ
[0:19:23] いいね_ボット: LOL感あるな
[0:19:25] 仲根にど: 発狂してますやん
[0:19:26] _しもん: 今の音聞いたことあるぞ
[0:19:27] クレヨンパステル: モイラやん
[0:19:27] 2期: えっど
[0:19:27] purplinze: キャラ結構よい
[0:19:31] mimitabu__: キンド行こう
[0:19:31] 昆布畑: 女でいこう
[0:19:32] みわ5: キャラいいな
[0:19:33] えるねすです: アリスすこ
[0:19:34] はっぱカッター: 見たことあるキャラしてるな
